  kill@10% run 0: PASS (0 committed rows, DB consistent)
  kill@10% run 1: PASS (0 committed rows, DB consistent)
  kill@10% run 2: PASS (0 committed rows, DB consistent)
  kill@10% run 3: PASS (0 committed rows, DB consistent)
  kill@10% run 4: PASS (0 committed rows, DB consistent)
  kill@10% run 5: PASS (0 committed rows, DB consistent)
  kill@10% run 6: PASS (0 committed rows, DB consistent)
  kill@10% run 7: PASS (0 committed rows, DB consistent)
  kill@10% run 8: PASS (0 committed rows, DB consistent)
  kill@10% run 9: PASS (0 committed rows, DB consistent)
  kill@50% run 0: PASS (0 committed rows, DB consistent)
  kill@50% run 1: PASS (0 committed rows, DB consistent)
  kill@50% run 2: PASS (0 committed rows, DB consistent)
  kill@50% run 3: PASS (0 committed rows, DB consistent)
  kill@50% run 4: PASS (0 committed rows, DB consistent)
  kill@50% run 5: PASS (0 committed rows, DB consistent)
  kill@50% run 6: PASS (0 committed rows, DB consistent)
  kill@50% run 7: PASS (0 committed rows, DB consistent)
  kill@50% run 8: PASS (0 committed rows, DB consistent)
  kill@50% run 9: PASS (0 committed rows, DB consistent)
  kill@90% run 0: PASS (0 committed rows, DB consistent)
  kill@90% run 1: PASS (0 committed rows, DB consistent)
  kill@90% run 2: PASS (0 committed rows, DB consistent)
  kill@90% run 3: PASS (0 committed rows, DB consistent)
  kill@90% run 4: PASS (0 committed rows, DB consistent)
  kill@90% run 5: PASS (0 committed rows, DB consistent)
  kill@90% run 6: PASS (0 committed rows, DB consistent)
  kill@90% run 7: PASS (0 committed rows, DB consistent)
  kill@90% run 8: PASS (0 committed rows, DB consistent)
  kill@90% run 9: PASS (0 committed rows, DB consistent)
