elapsed_ms,session_id,invoke_ms,loop_gap_ms,drained_bytes,should_render,queue_depth,queued_bytes
8,session-01,8.0000,0.0000,129022,true,128,128680
35,session-02,34.0000,0.0000,127314,true,128,127656
35,session-03,34.0000,0.0000,126632,true,128,129705
36,session-04,35.0000,0.0000,128338,true,128,129022
91,session-01,57.0000,34.0000,127315,true,128,129705
100,session-02,9.0000,90.0000,127997,true,128,128681
107,session-03,15.0000,91.0000,126973,true,128,125266
114,session-04,22.0000,91.0000,129363,true,128,126631
122,session-01,23.0000,65.0000,129705,true,128,129706
129,session-02,22.0000,16.0000,127656,true,128,129364
138,session-03,24.0000,22.0000,129022,true,128,129363
146,session-04,25.0000,29.0000,128681,true,128,129705
154,session-01,25.0000,30.0000,125948,true,128,127656
155,session-02,18.0000,30.0000,128681,true,128,127314
162,session-03,17.0000,31.0000,127998,true,128,127998
169,session-04,17.0000,31.0000,128340,true,128,126973
178,session-01,10.0000,39.0000,128340,true,128,126290
184,session-02,16.0000,31.0000,128339,true,128,130389
191,session-03,16.0000,30.0000,126973,true,128,128681
198,session-04,15.0000,31.0000,127656,true,128,126973
206,session-01,16.0000,22.0000,127656,true,128,127997
212,session-02,15.0000,29.0000,124241,true,128,126632
220,session-03,16.0000,29.0000,127998,true,128,127998
226,session-04,14.0000,29.0000,129364,true,128,127315
235,session-01,16.0000,29.0000,129364,true,128,127655
241,session-02,16.0000,28.0000,128339,true,128,126289
248,session-03,15.0000,29.0000,127997,true,128,127656
254,session-04,14.0000,28.0000,125607,true,128,126974
277,session-01,30.0000,28.0000,127998,true,128,129022
278,session-02,24.0000,29.0000,127656,true,128,125949
283,session-03,8.0000,42.0000,130047,true,128,128681
294,session-04,12.0000,42.0000,130047,true,128,130047
302,session-01,9.0000,46.0000,130047,true,128,130388
313,session-02,19.0000,40.0000,127314,true,128,127997
319,session-03,20.0000,24.0000,127656,true,128,130389
327,session-04,21.0000,24.0000,129364,true,128,129022
333,session-01,21.0000,19.0000,129363,true,128,127315
339,session-02,20.0000,25.0000,127998,true,128,129705
345,session-03,20.0000,26.0000,128681,true,128,127656
352,session-04,20.0000,26.0000,127998,true,128,125265
358,session-01,20.0000,26.0000,128681,true,128,128681
364,session-02,20.0000,25.0000,129705,true,128,126632
370,session-03,20.0000,25.0000,128339,true,128,130388
377,session-04,20.0000,25.0000,129705,true,128,127998
384,session-01,21.0000,25.0000,126973,true,128,125607
390,session-02,21.0000,25.0000,128339,true,128,129364
397,session-03,21.0000,26.0000,129022,true,128,128680
404,session-04,21.0000,26.0000,129363,true,128,125948
411,session-01,22.0000,26.0000,127656,true,128,126973
417,session-02,21.0000,27.0000,129022,true,128,128681
424,session-03,22.0000,26.0000,129022,true,128,129022
431,session-04,21.0000,27.0000,127998,true,128,129364
438,session-01,22.0000,27.0000,130389,true,128,129022
446,session-02,23.0000,27.0000,128339,true,128,127655
454,session-03,24.0000,28.0000,126973,true,128,126290
468,session-04,31.0000,27.0000,126974,true,128,130047
469,session-01,25.0000,28.0000,129705,true,128,129364
480,session-02,27.0000,30.0000,128681,true,128,126290
481,session-03,14.0000,37.0000,129705,true,128,127315
492,session-04,14.0000,41.0000,126973,true,128,129705
498,session-01,19.0000,34.0000,124924,true,128,127656
504,session-02,13.0000,38.0000,127656,true,128,128339
509,session-03,18.0000,24.0000,126973,true,128,127998
515,session-04,18.0000,19.0000,129364,true,128,127315
522,session-01,20.0000,24.0000,129364,true,128,129023
529,session-02,20.0000,18.0000,130388,true,128,127656
536,session-03,22.0000,23.0000,127656,true,128,127997
542,session-04,22.0000,23.0000,129022,true,128,126632
549,session-01,22.0000,25.0000,126974,true,128,129023
556,session-02,21.0000,26.0000,127997,true,128,130730
563,session-03,22.0000,27.0000,127656,true,128,127314
569,session-04,22.0000,27.0000,127997,true,128,127314
576,session-01,22.0000,27.0000,125949,true,128,127315
583,session-02,21.0000,26.0000,126632,true,128,130730
589,session-03,20.0000,28.0000,128680,true,128,128340
596,session-04,20.0000,29.0000,126974,true,128,128680
603,session-01,22.0000,27.0000,128340,true,128,125949
610,session-02,22.0000,27.0000,128339,true,128,127656
617,session-03,22.0000,26.0000,127655,true,128,126289
624,session-04,23.0000,25.0000,130046,true,128,130388
630,session-01,22.0000,27.0000,130389,true,128,130730
637,session-02,21.0000,28.0000,127998,true,128,128681
645,session-03,22.0000,28.0000,129022,true,128,125265
652,session-04,22.0000,29.0000,128681,true,128,125949
658,session-01,22.0000,28.0000,128681,true,128,125949
665,session-02,21.0000,28.0000,128338,true,128,129705
672,session-03,21.0000,28.0000,130730,true,128,129023
678,session-04,21.0000,27.0000,125949,true,128,129706
685,session-01,22.0000,27.0000,128340,true,128,129022
693,session-02,23.0000,26.0000,129023,true,128,128339
699,session-03,22.0000,26.0000,127998,true,128,129706
705,session-04,21.0000,27.0000,124924,true,128,127997
712,session-01,22.0000,27.0000,129022,true,128,128339
719,session-02,21.0000,28.0000,127656,true,128,127656
726,session-03,22.0000,27.0000,125949,true,128,126631
734,session-04,24.0000,26.0000,127315,true,128,128339
739,session-01,21.0000,28.0000,128339,true,128,127998
746,session-02,22.0000,26.0000,128680,true,128,127314
