elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
1,session-01,0,0,0.0000,0,0,0,0,0
1,session-02,0,0,0.0000,0,0,0,0,0
1,session-03,0,0,0.0000,0,0,0,0,0
1,session-04,0,0,0.0000,0,0,0,0,0
1100,session-01,128,127315,234.8386,256,16364606,4996006,11215,11241285
1100,session-02,128,129705,234.8179,256,16384764,5005569,11199,11249490
1100,session-03,128,127313,234.3916,256,15894265,4882353,10850,10884599
1100,session-04,128,127656,234.5891,256,15914401,4875866,10876,10910879
2102,session-01,128,128681,237.0340,256,33590786,9504616,23831,23957489
2102,session-02,128,129364,237.1034,256,33764887,9519637,23954,24115886
2102,session-03,128,131072,236.9734,256,33804484,9535692,23982,24137720
2102,session-04,128,130047,237.0484,256,33774789,9517597,23979,24127145
3104,session-01,128,127315,240.0261,256,52345409,12590565,39415,39627529
3104,session-02,128,127655,240.0392,256,52448514,12605246,39458,39715613
3104,session-03,128,127998,239.9149,256,52372748,12628471,39359,39616279
3104,session-04,128,127656,239.9054,256,52128003,12594320,39168,39406027
4105,session-01,128,127657,241.0951,256,68321613,15422224,52506,52771732
4105,session-02,128,129022,241.1250,256,68510051,15447837,52643,52933192
4105,session-03,128,129364,241.0709,256,68070417,15331111,52300,52609942
4105,session-04,128,130047,241.0124,256,67547482,15304811,51863,52112624
5107,session-01,128,129022,241.8242,256,82901079,17864767,64624,64907290
5107,session-02,128,129364,241.8543,256,83125005,17892090,64800,65103551
5107,session-03,128,128681,241.8202,256,82728730,17774679,64493,64825370
5107,session-04,128,128338,241.7594,256,82112960,17744966,63960,64239656
6109,session-01,128,128680,240.8540,256,97211573,22471659,74307,74611234
6109,session-02,128,127314,240.8839,256,97437192,22489764,74499,74820114
6109,session-03,128,127315,240.8165,256,97404460,22533474,74390,74743671
6109,session-04,128,128681,240.7832,256,96915653,22494204,74008,74292768
7113,session-01,128,127313,239.9826,256,112219103,27098022,84624,84993768
7113,session-02,128,128339,239.9644,256,111900655,26965269,84421,84807047
7113,session-03,128,127315,239.9723,256,112045058,27025352,84480,84892391
7113,session-04,128,125607,240.0263,256,111418706,26994275,83945,84298824
8116,session-01,128,130388,240.4996,256,129913566,29895202,99453,99887976
8116,session-02,128,128680,240.3372,256,129137716,29849829,98709,99159207
8116,session-03,128,128339,240.3959,256,129305328,29940980,98792,99236009
8116,session-04,128,129704,240.2841,256,126308441,29664823,96110,96513914
9118,session-01,128,130389,241.3789,256,147114452,31965022,114518,115019041
9118,session-02,128,130388,241.1118,256,145514957,31917258,112990,113467311
9118,session-03,128,129022,241.2279,256,145045662,31874263,112546,113042377
9118,session-04,128,127655,241.1230,256,142325588,31734304,110030,110463629
10124,session-01,128,128339,242.0207,256,161586405,33650849,127283,127807217
10124,session-02,128,127315,241.7895,256,160020028,33593522,125787,126299191
10124,session-03,128,126290,241.8979,256,159699228,33561119,125461,126011819
10124,session-04,128,130047,241.7608,256,156848417,33416031,122822,123302339
