elapsed_ms,session_id,invoke_ms,loop_gap_ms,drained_bytes,should_render,queue_depth,queued_bytes
4,session-01,3.0000,0.0000,0,true,0,0
106,session-01,1.0000,104.0000,814,true,0,0
208,session-01,1.0000,102.0000,0,true,0,0
310,session-01,1.0000,102.0000,0,true,0,0
411,session-01,1.0000,101.0000,26,true,0,0
513,session-01,1.0000,102.0000,788,true,0,0
615,session-01,1.0000,102.0000,0,true,0,0
716,session-01,0.0000,102.0000,814,true,0,0
819,session-01,1.0000,102.0000,0,true,0,0
920,session-01,1.0000,101.0000,26,true,0,0
1022,session-01,1.0000,102.0000,788,true,0,0
1123,session-01,1.0000,101.0000,0,true,0,0
1225,session-01,1.0000,102.0000,0,true,0,0
1327,session-01,1.0000,102.0000,0,true,0,0
1429,session-01,1.0000,102.0000,26,true,0,0
1530,session-01,0.0000,102.0000,788,true,0,0
1633,session-01,1.0000,102.0000,0,true,0,0
1734,session-01,1.0000,101.0000,0,true,0,0
1837,session-01,1.0000,103.0000,0,true,0,0
1938,session-01,1.0000,101.0000,11,true,0,0
2243,session-01,204.0000,102.0000,15,true,0,0
2346,session-01,1.0000,306.0000,0,true,0,0
2448,session-01,2.0000,101.0000,0,true,0,0
2550,session-01,1.0000,103.0000,0,true,0,0
2652,session-01,1.0000,102.0000,788,true,0,0
2754,session-01,1.0000,102.0000,0,true,0,0
2855,session-01,1.0000,101.0000,814,true,0,0
2957,session-01,1.0000,102.0000,0,true,0,0
3058,session-01,0.0000,102.0000,26,true,0,0
3160,session-01,1.0000,101.0000,788,true,0,0
3262,session-01,1.0000,102.0000,0,true,0,0
3364,session-01,1.0000,102.0000,0,true,0,0
3465,session-01,1.0000,101.0000,814,true,0,0
3567,session-01,1.0000,102.0000,0,true,0,0
3669,session-01,1.0000,102.0000,26,true,0,0
3771,session-01,1.0000,102.0000,788,true,0,0
3873,session-01,0.0000,102.0000,0,true,0,0
3975,session-01,1.0000,102.0000,814,true,0,0
4076,session-01,1.0000,101.0000,0,true,0,0
4178,session-01,1.0000,102.0000,0,true,0,0
4279,session-01,1.0000,101.0000,0,true,0,0
4381,session-01,1.0000,102.0000,0,true,0,0
4483,session-01,1.0000,102.0000,814,true,0,0
4585,session-01,1.0000,102.0000,0,true,0,0
4686,session-01,1.0000,101.0000,26,true,0,0
4789,session-01,1.0000,103.0000,788,true,0,0
4890,session-01,1.0000,101.0000,0,true,0,0
4992,session-01,1.0000,102.0000,814,true,0,0
5093,session-01,1.0000,101.0000,0,true,0,0
5196,session-01,1.0000,103.0000,0,true,0,0
5297,session-01,1.0000,101.0000,0,true,0,0
5399,session-01,1.0000,102.0000,0,true,0,0
5501,session-01,1.0000,102.0000,26,true,0,0
5603,session-01,1.0000,102.0000,788,true,0,0
5704,session-01,1.0000,101.0000,0,true,0,0
5806,session-01,1.0000,102.0000,0,true,0,0
5907,session-01,1.0000,101.0000,0,true,0,0
6008,session-01,0.0000,102.0000,0,true,0,0
6228,session-01,119.0000,101.0000,0,true,0,0
6330,session-01,0.0000,221.0000,0,true,0,0
6432,session-01,1.0000,101.0000,0,true,0,0
6534,session-01,1.0000,102.0000,26,true,0,0
6636,session-01,1.0000,102.0000,788,true,0,0
6738,session-01,1.0000,102.0000,0,true,0,0
6839,session-01,1.0000,101.0000,0,true,0,0
6941,session-01,1.0000,102.0000,0,true,0,0
7255,session-01,213.0000,102.0000,11,true,0,0
7356,session-01,1.0000,313.0000,0,true,0,0
7458,session-01,1.0000,102.0000,0,true,0,0
7561,session-01,2.0000,102.0000,15,true,0,0
7662,session-01,1.0000,102.0000,788,true,0,0
7763,session-01,0.0000,102.0000,0,true,0,0
7865,session-01,1.0000,101.0000,814,true,0,0
7967,session-01,1.0000,102.0000,0,true,0,0
8069,session-01,1.0000,102.0000,26,true,0,0
8170,session-01,1.0000,101.0000,788,true,0,0
8272,session-01,1.0000,102.0000,0,true,0,0
8374,session-01,1.0000,102.0000,0,true,0,0
8475,session-01,1.0000,101.0000,814,true,0,0
8577,session-01,1.0000,102.0000,0,true,0,0
8678,session-01,1.0000,101.0000,0,true,0,0
8780,session-01,1.0000,102.0000,0,true,0,0
8881,session-01,0.0000,102.0000,0,true,0,0
8984,session-01,1.0000,102.0000,0,true,0,0
9130,session-01,46.0000,101.0000,11,true,0,0
9237,session-01,1.0000,152.0000,0,true,0,0
9339,session-01,1.0000,102.0000,15,true,0,0
9441,session-01,1.0000,102.0000,0,true,0,0
9547,session-01,5.0000,102.0000,0,true,0,0
9649,session-01,1.0000,106.0000,788,true,0,0
9762,session-01,12.0000,102.0000,0,true,0,0
9864,session-01,1.0000,113.0000,0,true,0,0
9965,session-01,1.0000,101.0000,0,true,0,0
