elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
1337,session-01,0,0,0.0000,0,0,0,0,0
2337,session-01,128,128338,228.9343,256,16877927,5844888,10928,10904701
3339,session-01,128,128681,233.1978,256,42431689,13770153,28583,28532855
4340,session-01,128,130388,234.0402,256,67317158,21714205,45536,45472565
5340,session-01,128,129364,234.4950,256,92859323,29766787,63028,62963172
6342,session-01,128,128681,235.3877,256,120508185,37329911,83092,83049593
7343,session-01,128,127655,235.6120,256,144418104,44480354,99877,99810095
8343,session-01,128,127997,235.5651,256,169466038,52548984,116870,116789057
9345,session-01,128,129022,235.5671,256,194834105,60599514,134215,134105569
