elapsed_ms,session_id,invoke_ms,loop_gap_ms,drained_bytes,should_render,queue_depth,queued_bytes
4,session-01,4.0000,0.0000,0,true,0,0
4,session-02,3.0000,0.0000,0,true,0,0
5,session-03,4.0000,0.0000,0,true,0,0
5,session-04,4.0000,0.0000,0,true,0,0
353,session-01,344.0000,9.0000,0,true,0,0
354,session-02,345.0000,8.0000,0,true,0,0
354,session-03,345.0000,8.0000,0,true,0,0
354,session-04,345.0000,8.0000,0,true,0,0
358,session-01,0.0000,349.0000,0,true,0,0
359,session-02,1.0000,349.0000,0,true,0,0
359,session-03,1.0000,349.0000,0,true,0,0
360,session-04,2.0000,349.0000,0,true,0,0
363,session-01,0.0000,5.0000,0,true,0,0
364,session-02,1.0000,5.0000,0,true,0,0
365,session-03,2.0000,5.0000,0,true,0,0
366,session-04,2.0000,6.0000,0,true,0,0
368,session-01,0.0000,5.0000,0,true,0,0
369,session-02,1.0000,5.0000,0,true,0,0
370,session-03,1.0000,6.0000,0,true,0,0
371,session-04,1.0000,6.0000,0,true,0,0
373,session-01,0.0000,5.0000,0,true,0,0
373,session-02,0.0000,5.0000,0,true,0,0
375,session-03,1.0000,5.0000,0,true,0,0
376,session-04,1.0000,5.0000,0,true,0,0
378,session-01,0.0000,5.0000,0,true,0,0
378,session-02,0.0000,5.0000,0,true,0,0
380,session-03,1.0000,5.0000,0,true,0,0
380,session-04,0.0000,5.0000,0,true,0,0
383,session-01,1.0000,4.0000,0,true,0,0
383,session-02,0.0000,5.0000,0,true,0,0
384,session-03,0.0000,5.0000,0,true,0,0
385,session-04,0.0000,5.0000,0,true,0,0
388,session-01,1.0000,5.0000,0,true,0,0
388,session-02,0.0000,5.0000,0,true,0,0
389,session-03,0.0000,5.0000,0,true,0,0
390,session-04,0.0000,5.0000,0,true,0,0
393,session-01,1.0000,5.0000,0,true,0,0
393,session-02,0.0000,5.0000,0,true,0,0
394,session-03,0.0000,5.0000,0,true,0,0
395,session-04,0.0000,5.0000,0,true,0,0
398,session-01,1.0000,5.0000,0,true,0,0
398,session-02,1.0000,4.0000,0,true,0,0
399,session-03,1.0000,4.0000,0,true,0,0
400,session-04,1.0000,4.0000,0,true,0,0
402,session-01,0.0000,5.0000,0,true,0,0
402,session-02,0.0000,5.0000,0,true,0,0
403,session-03,0.0000,5.0000,0,true,0,0
405,session-04,1.0000,5.0000,0,true,0,0
407,session-01,0.0000,5.0000,0,true,0,0
408,session-02,1.0000,5.0000,0,true,0,0
408,session-03,0.0000,5.0000,0,true,0,0
409,session-04,0.0000,5.0000,0,true,0,0
412,session-01,0.0000,5.0000,0,true,0,0
413,session-02,1.0000,5.0000,0,true,0,0
414,session-03,1.0000,5.0000,0,true,0,0
414,session-04,1.0000,4.0000,0,true,0,0
