elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
1,session-01,0,0,0.0000,0,0,0,0,0
1,session-02,0,0,0.0000,0,0,0,0,0
1,session-03,0,0,0.0000,0,0,0,0,0
1,session-04,0,0,0.0000,0,0,0,0,0
1361,session-01,128,131072,225.7287,256,6730398,2370214,4139,4229112
1361,session-02,128,130730,225.9460,256,6411241,2232311,3966,4048200
1361,session-03,128,131072,223.7076,256,6566214,2337105,4012,4098037
1361,session-04,128,131072,224.5154,256,6632770,2351434,4060,4150264
2362,session-01,128,131072,235.3231,256,20484736,5771938,14274,14581726
2362,session-02,128,131072,235.4445,256,20475846,5759979,14282,14584795
2362,session-03,128,129706,234.7610,256,20725705,5861358,14427,14734641
2362,session-04,128,130730,234.8778,256,20296652,5751104,14108,14414818
3366,session-01,128,131072,241.0811,256,47622731,9647088,37035,37844571
3366,session-02,128,130389,240.9949,256,46760505,9551842,36300,37078274
3366,session-03,128,131072,240.7500,256,46970431,9684964,36367,37154395
3366,session-04,128,130047,241.0729,256,47376606,9595530,36846,37651029
4366,session-01,128,130389,240.5125,256,62175103,13567631,47440,48477083
4366,session-02,128,129706,240.5143,256,62161091,13605506,47402,48425879
4366,session-03,128,131072,240.3203,256,62331770,13737947,47426,48462751
4366,session-04,128,131072,240.5569,256,62138212,13520854,47459,48486286
5375,session-01,128,131072,240.0218,256,76584793,17615830,57584,58837891
5375,session-02,128,130389,240.0325,256,76086081,17529123,57201,58426569
5375,session-03,128,131072,239.8492,256,76141404,17659516,57106,58350816
5375,session-04,128,130388,240.0409,256,76462219,17575886,57524,58755945
6381,session-01,128,131072,241.0719,256,89881742,19447080,68810,70303590
6381,session-02,128,130389,241.0249,256,89580668,19492810,68488,69957469
6381,session-03,128,131072,240.8743,256,89671147,19622179,68425,69917896
6381,session-04,128,130389,241.0224,256,89922327,19537864,68778,70254074
7382,session-01,128,131072,242.0727,256,104209170,21145548,81179,82932550
7382,session-02,128,130730,242.0372,256,103927210,21190595,80874,82605885
7382,session-03,128,130389,241.9255,256,104155589,21318939,80947,82706261
7382,session-04,128,130730,242.0629,256,103897494,21107994,80929,82658770
8382,session-01,128,131072,242.7809,256,116810484,22585290,92109,94094122
8382,session-02,128,130388,242.7832,256,116184126,22500289,91588,93553449
8382,session-03,128,130730,242.6771,256,116371205,22624194,91620,93616281
8382,session-04,128,131072,242.7692,256,116463313,22544661,91818,93787580
9382,session-01,128,130389,241.5478,256,125456433,26765587,96482,98560457
9382,session-02,128,131072,241.5417,256,124813354,26680587,95943,98001695
9382,session-03,128,131072,241.4664,256,125183721,26804150,96159,98248499
9382,session-04,128,130389,241.5431,256,125180252,26716077,96272,98333786
