elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
1007,session-01,0,0,2.2143,9,2442,2442,0,0
2009,session-01,0,0,2.5000,9,4070,4070,0,0
3011,session-01,0,0,2.4750,10,5724,5724,0,0
4011,session-01,0,0,2.2556,10,7326,7326,0,0
5013,session-01,0,0,2.1130,10,9768,9768,0,0
6015,session-01,0,0,2.1135,10,12210,12210,0,0
7016,session-01,0,0,2.0366,10,14652,14652,0,0
8018,session-01,0,0,1.9838,10,15492,15492,0,0
9020,session-01,0,0,1.9951,10,17094,17094,0,0
