elapsed_ms,session_id,invoke_ms,loop_gap_ms,drained_bytes,should_render,queue_depth,queued_bytes
1,session-01,1.0000,0.0000,0,true,0,0
239,session-01,138.0000,101.0000,0,true,0,0
342,session-01,1.0000,240.0000,0,true,0,0
443,session-01,1.0000,101.0000,0,true,0,0
545,session-01,1.0000,102.0000,0,true,0,0
646,session-01,1.0000,101.0000,0,true,0,0
748,session-01,0.0000,103.0000,0,true,0,0
850,session-01,1.0000,101.0000,0,true,0,0
952,session-01,1.0000,102.0000,0,true,0,0
1054,session-01,1.0000,102.0000,0,true,0,0
1156,session-01,1.0000,102.0000,0,true,0,0
1257,session-01,1.0000,101.0000,0,true,0,0
1360,session-01,1.0000,102.0000,814,true,0,0
1461,session-01,1.0000,102.0000,0,true,0,0
1562,session-01,1.0000,101.0000,814,true,0,0
1664,session-01,1.0000,102.0000,0,true,0,0
1766,session-01,1.0000,102.0000,0,true,0,0
1868,session-01,1.0000,102.0000,814,true,0,0
1970,session-01,1.0000,102.0000,0,true,0,0
2071,session-01,1.0000,101.0000,0,true,0,0
2173,session-01,1.0000,102.0000,0,true,0,0
2274,session-01,1.0000,101.0000,814,true,0,0
2376,session-01,1.0000,102.0000,0,true,0,0
2477,session-01,1.0000,101.0000,26,true,0,0
2579,session-01,1.0000,102.0000,788,true,0,0
2680,session-01,1.0000,101.0000,0,true,0,0
2782,session-01,1.0000,102.0000,814,true,0,0
2883,session-01,1.0000,101.0000,0,true,0,0
2985,session-01,0.0000,103.0000,0,true,0,0
3087,session-01,1.0000,101.0000,0,true,0,0
3189,session-01,1.0000,102.0000,0,true,0,0
3291,session-01,1.0000,102.0000,814,true,0,0
3393,session-01,1.0000,102.0000,0,true,0,0
3494,session-01,1.0000,101.0000,26,true,0,0
3596,session-01,1.0000,102.0000,788,true,0,0
3698,session-01,1.0000,102.0000,0,true,0,0
3800,session-01,1.0000,102.0000,814,true,0,0
3901,session-01,0.0000,102.0000,0,true,0,0
4003,session-01,1.0000,101.0000,0,true,0,0
4104,session-01,1.0000,101.0000,0,true,0,0
4206,session-01,1.0000,102.0000,0,true,0,0
4308,session-01,1.0000,102.0000,814,true,0,0
4409,session-01,1.0000,101.0000,0,true,0,0
4511,session-01,1.0000,102.0000,26,true,0,0
4613,session-01,1.0000,102.0000,788,true,0,0
4714,session-01,1.0000,101.0000,0,true,0,0
4816,session-01,1.0000,102.0000,814,true,0,0
4918,session-01,1.0000,102.0000,0,true,0,0
5019,session-01,1.0000,101.0000,0,true,0,0
5121,session-01,1.0000,102.0000,0,true,0,0
5223,session-01,1.0000,102.0000,0,true,0,0
5448,session-01,125.0000,101.0000,26,true,0,0
5550,session-01,1.0000,226.0000,0,true,0,0
5652,session-01,1.0000,102.0000,788,true,0,0
5754,session-01,1.0000,102.0000,0,true,0,0
5855,session-01,1.0000,101.0000,0,true,0,0
5958,session-01,1.0000,103.0000,0,true,0,0
6059,session-01,1.0000,101.0000,0,true,0,0
6162,session-01,1.0000,103.0000,0,true,0,0
6263,session-01,1.0000,101.0000,26,true,0,0
6365,session-01,1.0000,102.0000,788,true,0,0
6466,session-01,1.0000,101.0000,0,true,0,0
6568,session-01,1.0000,102.0000,814,true,0,0
6670,session-01,1.0000,102.0000,0,true,0,0
6772,session-01,1.0000,102.0000,26,true,0,0
6873,session-01,1.0000,101.0000,788,true,0,0
6975,session-01,1.0000,102.0000,0,true,0,0
7076,session-01,1.0000,101.0000,0,true,0,0
7178,session-01,1.0000,102.0000,0,true,0,0
7298,session-01,20.0000,101.0000,26,true,0,0
7400,session-01,1.0000,121.0000,788,true,0,0
7501,session-01,1.0000,101.0000,0,true,0,0
7603,session-01,1.0000,102.0000,26,true,0,0
7705,session-01,1.0000,101.0000,788,true,0,0
7806,session-01,1.0000,102.0000,0,true,0,0
7908,session-01,1.0000,102.0000,814,true,0,0
8009,session-01,1.0000,101.0000,0,true,0,0
8111,session-01,1.0000,102.0000,0,true,0,0
8212,session-01,1.0000,101.0000,0,true,0,0
8314,session-01,1.0000,102.0000,814,true,0,0
8415,session-01,1.0000,101.0000,0,true,0,0
8516,session-01,1.0000,101.0000,26,true,0,0
8619,session-01,1.0000,103.0000,788,true,0,0
8720,session-01,1.0000,101.0000,0,true,0,0
8822,session-01,1.0000,102.0000,814,true,0,0
8923,session-01,1.0000,101.0000,0,true,0,0
9025,session-01,1.0000,102.0000,0,true,0,0
9127,session-01,1.0000,102.0000,0,true,0,0
9228,session-01,1.0000,101.0000,0,true,0,0
9330,session-01,2.0000,101.0000,814,true,0,0
9431,session-01,1.0000,102.0000,0,true,0,0
9533,session-01,1.0000,102.0000,814,true,0,0
9634,session-01,1.0000,101.0000,0,true,0,0
9735,session-01,0.0000,102.0000,0,true,0,0
9838,session-01,1.0000,102.0000,814,true,0,0
9939,session-01,1.0000,101.0000,0,true,0,0
10041,session-01,1.0000,102.0000,0,true,0,0
10143,session-01,1.0000,102.0000,0,true,0,0
10245,session-01,1.0000,102.0000,11,true,0,0
