elapsed_ms,session_id,invoke_ms,loop_gap_ms,drained_bytes,should_render,queue_depth,queued_bytes
2,session-01,2.0000,0.0000,0,true,0,0
11,session-01,3.0000,8.0000,0,true,0,0
16,session-01,1.0000,7.0000,0,true,0,0
22,session-01,1.0000,6.0000,0,true,0,0
29,session-01,2.0000,6.0000,0,true,0,0
37,session-01,3.0000,7.0000,0,true,0,0
44,session-01,2.0000,8.0000,0,true,0,0
50,session-01,1.0000,7.0000,0,true,0,0
56,session-01,1.0000,6.0000,0,true,0,0
62,session-01,1.0000,6.0000,0,true,0,0
68,session-01,1.0000,6.0000,0,true,0,0
73,session-01,1.0000,5.0000,0,true,0,0
79,session-01,1.0000,6.0000,0,true,0,0
91,session-01,7.0000,6.0000,130388,true,2,2048
157,session-01,8.0000,65.0000,129022,true,128,130388
173,session-01,8.0000,16.0000,128681,true,128,131072
187,session-01,8.0000,14.0000,131072,true,128,129022
201,session-01,8.0000,14.0000,129363,true,128,127998
235,session-01,8.0000,34.0000,129022,true,128,129022
248,session-01,8.0000,13.0000,129022,true,128,130388
261,session-01,8.0000,13.0000,131072,true,128,129706
275,session-01,8.0000,14.0000,130047,true,128,129705
290,session-01,8.0000,15.0000,130047,true,128,130389
305,session-01,8.0000,15.0000,130389,true,128,131072
320,session-01,9.0000,14.0000,131072,true,65,66560
336,session-01,8.0000,17.0000,131072,true,40,40618
363,session-01,20.0000,15.0000,130730,true,30,30720
380,session-01,9.0000,28.0000,56320,true,0,0
387,session-01,2.0000,14.0000,15360,true,0,0
394,session-01,3.0000,6.0000,16384,true,0,0
407,session-01,5.0000,11.0000,77823,true,0,0
416,session-01,4.0000,10.0000,59392,true,0,0
427,session-01,5.0000,10.0000,71680,true,0,0
434,session-01,3.0000,9.0000,25600,true,0,0
444,session-01,5.0000,8.0000,68608,true,0,0
452,session-01,4.0000,9.0000,34816,true,0,0
459,session-01,2.0000,9.0000,25600,true,0,0
466,session-01,2.0000,7.0000,19456,true,0,0
473,session-01,3.0000,6.0000,16384,true,0,0
481,session-01,3.0000,8.0000,32085,true,0,0
488,session-01,3.0000,7.0000,28672,true,0,0
497,session-01,5.0000,7.0000,49152,true,0,0
504,session-01,2.0000,10.0000,32768,true,0,0
512,session-01,3.0000,7.0000,51200,true,0,0
520,session-01,3.0000,8.0000,38912,true,0,0
534,session-01,10.0000,7.0000,78848,true,0,0
546,session-01,7.0000,15.0000,130730,true,5,5120
561,session-01,8.0000,14.0000,131072,true,11,11264
581,session-01,14.0000,14.0000,80213,true,0,0
591,session-01,6.0000,18.0000,89087,true,0,0
600,session-01,4.0000,11.0000,54272,true,0,0
609,session-01,4.0000,9.0000,51200,true,0,0
617,session-01,4.0000,8.0000,47786,true,0,0
625,session-01,4.0000,8.0000,53248,true,0,0
631,session-01,2.0000,8.0000,21504,true,0,0
639,session-01,3.0000,7.0000,47104,true,0,0
646,session-01,2.0000,8.0000,36864,true,0,0
654,session-01,3.0000,7.0000,51540,true,0,0
666,session-01,7.0000,8.0000,104448,true,0,0
674,session-01,3.0000,12.0000,43008,true,0,0
680,session-01,1.0000,8.0000,12288,true,0,0
687,session-01,2.0000,6.0000,10240,true,0,0
692,session-01,1.0000,6.0000,13312,true,0,0
701,session-01,4.0000,6.0000,12288,true,0,0
709,session-01,3.0000,9.0000,31744,true,0,0
716,session-01,3.0000,7.0000,34474,true,0,0
724,session-01,4.0000,7.0000,49152,true,0,0
733,session-01,4.0000,8.0000,67584,true,0,0
742,session-01,5.0000,9.0000,80213,true,0,0
758,session-01,11.0000,10.0000,64853,true,0,0
770,session-01,8.0000,15.0000,131072,true,10,10240
783,session-01,7.0000,14.0000,122880,true,0,0
793,session-01,5.0000,12.0000,68608,true,0,0
803,session-01,5.0000,10.0000,92501,true,0,0
814,session-01,6.0000,10.0000,104448,true,0,0
827,session-01,8.0000,11.0000,130389,true,3,3072
840,session-01,8.0000,13.0000,131072,true,28,28672
853,session-01,8.0000,13.0000,130389,true,46,47104
867,session-01,8.0000,14.0000,129706,true,70,71680
881,session-01,8.0000,14.0000,131072,true,98,98986
894,session-01,8.0000,13.0000,129706,true,128,130389
908,session-01,8.0000,14.0000,130389,true,128,131072
922,session-01,8.0000,14.0000,130730,true,128,131072
935,session-01,8.0000,13.0000,131072,true,128,130389
949,session-01,8.0000,14.0000,130047,true,128,129705
962,session-01,8.0000,13.0000,129705,true,128,130389
976,session-01,8.0000,14.0000,130389,true,128,129023
990,session-01,8.0000,14.0000,127998,true,128,130389
1004,session-01,8.0000,14.0000,131072,true,128,130730
1018,session-01,8.0000,14.0000,129364,true,128,130388
1033,session-01,9.0000,14.0000,130388,true,128,130388
1048,session-01,8.0000,16.0000,130730,true,128,131072
1061,session-01,8.0000,13.0000,131072,true,128,128338
1074,session-01,8.0000,13.0000,128680,true,128,130046
1087,session-01,7.0000,14.0000,130046,true,127,126632
1100,session-01,8.0000,12.0000,127656,true,103,104104
1112,session-01,8.0000,12.0000,129362,true,81,80894
1126,session-01,8.0000,14.0000,129022,true,58,59050
1139,session-01,8.0000,13.0000,129364,true,44,44373
1152,session-01,8.0000,13.0000,127998,true,9,9216
1161,session-01,4.0000,13.0000,69290,true,0,0
1171,session-01,5.0000,9.0000,78506,true,0,0
1180,session-01,5.0000,9.0000,83967,true,0,0
1189,session-01,4.0000,10.0000,76799,true,0,0
1199,session-01,5.0000,9.0000,88745,true,0,0
1210,session-01,7.0000,9.0000,103422,true,0,0
1220,session-01,6.0000,11.0000,105129,true,0,0
1233,session-01,7.0000,12.0000,124243,true,0,0
1246,session-01,7.0000,13.0000,127316,true,0,0
1259,session-01,7.0000,13.0000,127315,true,4,3413
1277,session-01,13.0000,12.0000,111615,true,0,0
1288,session-01,6.0000,18.0000,91136,true,0,0
1297,session-01,5.0000,10.0000,70656,true,0,0
1308,session-01,7.0000,9.0000,111957,true,0,0
1320,session-01,8.0000,11.0000,131072,true,5,5120
1333,session-01,8.0000,13.0000,129023,true,27,27306
1346,session-01,8.0000,13.0000,130388,true,34,34816
1360,session-01,8.0000,14.0000,131072,true,60,61098
1373,session-01,8.0000,13.0000,130730,true,81,82260
1386,session-01,8.0000,13.0000,130388,true,98,99327
1400,session-01,8.0000,14.0000,130047,true,121,123904
1413,session-01,8.0000,13.0000,131072,true,128,130388
1426,session-01,8.0000,13.0000,130730,true,128,130389
1439,session-01,8.0000,13.0000,130389,true,128,130730
1451,session-01,7.0000,13.0000,131072,true,128,131072
1468,session-01,12.0000,12.0000,131072,true,128,130730
1480,session-01,7.0000,17.0000,130389,true,128,130388
1493,session-01,8.0000,12.0000,130388,true,128,130389
1506,session-01,7.0000,14.0000,130389,true,128,131072
1520,session-01,8.0000,13.0000,131072,true,128,130047
1533,session-01,8.0000,13.0000,130389,true,128,130730
1546,session-01,8.0000,13.0000,131072,true,128,130389
1559,session-01,8.0000,13.0000,130389,true,128,131072
1573,session-01,8.0000,14.0000,131072,true,128,130389
1587,session-01,8.0000,14.0000,131072,true,128,130389
1600,session-01,8.0000,13.0000,130389,true,128,131072
1612,session-01,7.0000,13.0000,131072,true,128,130047
1626,session-01,8.0000,13.0000,129022,true,128,129705
1640,session-01,8.0000,14.0000,130047,true,128,129364
1654,session-01,8.0000,14.0000,129705,true,128,130730
1667,session-01,8.0000,13.0000,130047,true,128,130047
1680,session-01,8.0000,13.0000,129364,true,128,129706
1694,session-01,7.0000,15.0000,130730,true,128,129705
1708,session-01,8.0000,13.0000,129705,true,128,130730
1721,session-01,8.0000,13.0000,130388,true,128,129022
1734,session-01,8.0000,13.0000,129706,true,128,129706
1747,session-01,7.0000,14.0000,130046,true,128,131072
1761,session-01,8.0000,13.0000,131072,true,128,130388
1774,session-01,8.0000,13.0000,128681,true,128,130388
1788,session-01,8.0000,14.0000,130047,true,128,130047
1801,session-01,7.0000,13.0000,130047,true,128,131072
1814,session-01,8.0000,13.0000,130730,true,128,130047
1827,session-01,7.0000,14.0000,130730,true,128,130388
1840,session-01,8.0000,12.0000,129363,true,128,130389
1853,session-01,8.0000,13.0000,129706,true,128,129706
1866,session-01,8.0000,13.0000,129706,true,128,130730
1878,session-01,7.0000,13.0000,131072,true,128,130389
1892,session-01,8.0000,13.0000,130389,true,128,131072
1905,session-01,8.0000,13.0000,130388,true,128,129364
1918,session-01,8.0000,13.0000,129706,true,128,130388
1932,session-01,9.0000,13.0000,129706,true,128,130389
1946,session-01,8.0000,15.0000,130388,true,128,129021
1958,session-01,7.0000,13.0000,129705,true,128,130388
1972,session-01,8.0000,13.0000,129706,true,128,129364
1984,session-01,8.0000,12.0000,129705,true,128,130388
1997,session-01,7.0000,13.0000,130388,true,128,129022
2009,session-01,7.0000,13.0000,127997,true,128,130730
2026,session-01,11.0000,13.0000,130389,true,128,127656
2039,session-01,8.0000,16.0000,129023,true,128,127997
2052,session-01,7.0000,14.0000,129022,true,128,130388
2065,session-01,8.0000,12.0000,131072,true,128,129364
2078,session-01,8.0000,13.0000,129706,true,128,130730
2092,session-01,8.0000,14.0000,130730,true,128,129705
2105,session-01,7.0000,14.0000,130389,true,128,130730
2119,session-01,8.0000,13.0000,129705,true,128,130047
2133,session-01,8.0000,14.0000,131072,true,128,130389
2146,session-01,7.0000,13.0000,127998,true,128,130047
2158,session-01,8.0000,12.0000,129023,true,128,131072
2172,session-01,8.0000,14.0000,130388,true,128,128681
2184,session-01,7.0000,13.0000,129023,true,128,129364
2197,session-01,8.0000,12.0000,129364,true,128,131072
2210,session-01,8.0000,13.0000,129022,true,128,130047
2223,session-01,8.0000,13.0000,128681,true,128,129364
2236,session-01,8.0000,13.0000,130047,true,128,129023
2249,session-01,8.0000,13.0000,130047,true,128,131072
2262,session-01,8.0000,13.0000,129023,true,128,129022
2276,session-01,9.0000,13.0000,130388,true,128,130389
2290,session-01,8.0000,15.0000,129364,true,128,130046
2307,session-01,11.0000,14.0000,130046,true,128,130730
2321,session-01,8.0000,17.0000,130730,true,128,129364
2334,session-01,8.0000,13.0000,130388,true,128,130047
2346,session-01,7.0000,13.0000,129364,true,128,129022
2360,session-01,8.0000,13.0000,129706,true,128,131072
2374,session-01,8.0000,14.0000,130389,true,128,129023
2387,session-01,8.0000,13.0000,131072,true,128,130388
2400,session-01,8.0000,13.0000,131072,true,128,129706
2413,session-01,8.0000,13.0000,131072,true,128,129023
2427,session-01,8.0000,14.0000,129023,true,128,130047
2447,session-01,8.0000,20.0000,129364,true,128,129706
2461,session-01,7.0000,14.0000,129706,true,128,130047
2473,session-01,8.0000,12.0000,128680,true,128,130047
2486,session-01,8.0000,13.0000,125948,true,128,129705
2498,session-01,8.0000,12.0000,130388,true,128,129705
2511,session-01,8.0000,13.0000,129364,true,128,129364
2524,session-01,7.0000,14.0000,130388,true,128,127997
2538,session-01,8.0000,13.0000,127315,true,128,129364
2551,session-01,8.0000,13.0000,128681,true,128,129023
2565,session-01,8.0000,14.0000,129023,true,128,129364
2577,session-01,7.0000,13.0000,129022,true,128,129363
2591,session-01,7.0000,14.0000,128680,true,128,128339
2606,session-01,8.0000,14.0000,130389,true,128,130389
2619,session-01,7.0000,14.0000,130046,true,128,130047
2632,session-01,7.0000,13.0000,128680,true,128,129364
2645,session-01,8.0000,12.0000,128680,true,128,128680
2661,session-01,8.0000,16.0000,130047,true,128,130730
2674,session-01,8.0000,13.0000,130047,true,128,130730
2687,session-01,8.0000,13.0000,131072,true,128,129022
2700,session-01,8.0000,13.0000,131072,true,128,130730
2713,session-01,8.0000,13.0000,131072,true,128,130389
2726,session-01,8.0000,13.0000,127657,true,128,131072
2744,session-01,8.0000,18.0000,130047,true,128,129705
2757,session-01,8.0000,13.0000,129363,true,128,130047
2770,session-01,8.0000,13.0000,129364,true,128,131072
2782,session-01,7.0000,13.0000,128680,true,128,129364
2796,session-01,8.0000,13.0000,129363,true,128,130046
2809,session-01,8.0000,13.0000,129023,true,128,129364
2822,session-01,8.0000,13.0000,129364,true,128,128680
2836,session-01,9.0000,13.0000,129705,true,128,130388
2851,session-01,9.0000,15.0000,130730,true,128,129706
2865,session-01,8.0000,15.0000,129021,true,128,128339
2879,session-01,8.0000,14.0000,128680,true,128,129022
