elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
1317,session-01,128,131072,235.2847,256,10278815,2362008,7677,7785735
2319,session-01,128,128339,237.8894,256,45975858,11994711,33344,33852808
3320,session-01,128,130388,238.3136,256,81281006,20654256,59606,60496362
4320,session-01,128,130388,238.6984,256,118869013,30261683,87159,88476942
5326,session-01,128,130730,238.8063,256,155111481,39744867,113532,115235884
6330,session-01,128,129706,240.9300,256,188688497,42478588,143927,146080203
7330,session-01,128,130047,242.3667,256,223948957,45715762,175481,178103148
8332,session-01,128,130730,242.1114,256,259029535,53514143,202360,205384662
9334,session-01,128,130047,242.6495,256,312142603,62352207,245950,249660349
