elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
0,session-02,0,0,0.0000,0,0,0,0,0
0,session-03,0,0,0.0000,0,0,0,0,0
0,session-04,0,0,0.0000,0,0,0,0,0
1151,session-01,128,130730,245.4133,256,28928955,4131489,24143,24666736
1151,session-02,128,131072,245.5479,256,28438451,4182001,23624,24125378
1151,session-03,128,130389,245.5870,256,27739405,4056398,23065,23552618
1151,session-04,128,130730,245.7535,256,28188602,4050592,23507,24007280
2151,session-01,128,131072,246.7004,256,62875196,8452082,53108,54292042
2151,session-02,128,131072,246.7452,256,61288673,8369471,51651,52788130
2151,session-03,128,131072,246.7925,256,61607819,8376991,51959,53099756
2151,session-04,128,130388,246.8514,256,62007873,8372894,52348,53504591
3154,session-01,128,131072,247.1163,256,97162775,12774726,82402,84256977
3154,session-02,128,131072,247.1633,256,96649739,12820793,81871,83697874
3154,session-03,128,130730,247.1875,256,96919395,12826265,82131,83962400
3154,session-04,128,130730,247.2069,256,97140592,12825583,82341,84184279
4157,session-01,128,131072,248.1682,256,132859723,15524163,114608,117204488
4157,session-02,128,131072,248.2068,256,132350779,15567155,114083,116652552
4157,session-03,128,131072,248.2287,256,132724203,15575361,114449,117017770
4157,session-04,128,130730,248.2398,256,131834010,15445314,113699,116257966
5154,session-01,128,130389,248.1410,256,168906881,19974119,145489,148802373
5154,session-02,128,131072,248.1692,256,167274607,19889456,143996,147254079
5154,session-03,128,131072,248.1890,256,167699231,19898004,144412,147670155
5154,session-04,128,130389,248.1888,256,167705040,19900054,144406,147674597
6155,session-01,128,130730,247.9313,256,200028903,24420657,171596,175477516
6155,session-02,128,131072,247.9371,256,199048922,24464675,170607,174453175
6155,session-03,128,131072,247.9715,256,199906706,24478349,171441,175297285
6155,session-04,128,131072,247.9652,256,199759936,24476985,171287,175151879
7160,session-01,128,131072,247.8371,256,231821671,28742274,198456,202948325
7160,session-02,128,131072,247.8437,256,230878545,28780485,197520,201966988
7160,session-03,128,130730,247.8727,256,231718928,28799625,198326,202788573
7160,session-04,128,131072,247.8711,256,231688900,28793820,198282,202764008
8160,session-01,128,131072,247.8282,256,266668005,33194621,228174,233342312
8160,session-02,128,131072,247.8385,256,265868578,33229759,227383,232507747
8160,session-03,128,130730,247.8621,256,266668009,33250949,228138,233286330
8160,session-04,128,131072,247.8616,256,265624212,33114753,227239,232378387
9162,session-01,62,63488,248.1575,256,300182795,35943715,258331,264175592
9162,session-02,65,66560,248.1622,256,299226024,35976461,257368,263183003
9162,session-03,69,70656,248.1993,256,299634975,35870338,257858,263693981
9162,session-04,80,81237,248.1884,256,299294664,35865898,257511,263347529
