elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
0,session-02,0,0,0.0000,0,0,0,0,0
0,session-03,0,0,0.0000,0,0,0,0,0
0,session-04,0,0,0.0000,0,0,0,0,0
10008,session-01,128,131072,238.0399,256,338187202,93864160,238732,244191970
10008,session-02,128,130389,255.6720,256,308929181,1175888,300739,307622904
10008,session-03,128,131072,255.6719,256,308855764,1177940,300707,307546752
10008,session-04,128,130046,255.6722,256,309108323,1179306,300979,307798971
20008,session-01,128,131072,238.0662,256,677657125,188101043,478488,489425010
20008,session-02,128,130389,255.7151,256,652186558,2485582,635041,649570587
20008,session-03,128,130730,255.7152,256,652195360,2485926,635128,649578704
20008,session-04,128,131072,255.7152,256,652291939,2487635,635249,649673232
30014,session-01,128,131072,238.0646,256,1019211265,283277636,719353,735802557
30014,session-02,128,130389,255.7291,256,997457097,3794251,971335,993532457
30014,session-03,128,131072,255.7293,256,997981309,3794255,971929,994055982
30014,session-04,128,131072,255.7292,256,997710965,3796306,971677,993783587
40014,session-01,128,130730,238.1401,256,1361350776,376883407,962331,984336639
40014,session-02,128,131072,255.7359,256,1343071369,5103604,1307961,1337836693
40014,session-03,128,131072,255.7361,256,1343911983,5103267,1308880,1338677644
40014,session-04,128,131072,255.7361,256,1343572009,5104976,1308553,1338335961
50018,session-01,128,131072,238.1886,256,1703768828,470486451,1205564,1233151305
50018,session-02,128,131072,255.7401,256,1689363546,6410907,1645234,1682821567
50018,session-03,128,131072,255.7402,256,1690032446,6411596,1645996,1683489778
50018,session-04,128,131072,255.7402,256,1689892455,6413988,1645893,1683347395
60018,session-01,128,131072,238.2174,256,2045164242,563705153,1448179,1481328017
60018,session-02,128,131072,255.7427,256,2035144742,7721285,1982024,2027292385
60018,session-03,128,131072,255.7428,256,2035681887,7719925,1982650,2027830890
60018,session-04,128,131072,255.7428,256,2035636460,7723683,1982605,2027781705
70018,session-01,128,131072,238.2123,256,2382401534,657053917,1686637,1725216545
70018,session-02,128,131072,255.7443,256,2377737851,9032005,2315718,2368574774
70018,session-03,128,131072,255.7443,256,2377865423,9030303,2315925,2368704048
70018,session-04,128,131072,255.7443,256,2377342775,9034403,2315433,2368177300
80018,session-01,128,131072,238.2929,256,2725473579,748306547,1932814,1977035960
80018,session-02,128,131072,255.7460,256,2725797778,10342041,2654726,2715324665
80018,session-03,128,131072,255.7460,256,2725827739,10339315,2654836,2715357352
80018,session-04,128,131072,255.7460,256,2725475413,10341366,2654504,2715002975
90019,session-01,128,131072,238.3041,256,3065962066,840248333,2175807,2225582661
90019,session-02,128,130389,255.7470,256,3037623206,11518272,2958404,3025974545
90019,session-03,128,131072,255.7470,256,3037670201,11517255,2958574,3026021874
90019,session-04,128,130730,255.7470,256,3036894623,11519648,2957791,3025244245
100019,session-01,128,131072,238.3694,256,3402797572,929392877,2417983,2473273623
100019,session-02,128,131072,255.7491,256,3398714121,12827283,3310238,3385755766
100019,session-03,128,131072,255.7491,256,3398987787,12826950,3310578,3386029765
100019,session-04,128,131072,255.7490,256,3398209812,12829001,3309821,3385249739
110019,session-01,128,131072,238.4090,256,3739151460,1019067176,2659176,2719953212
110019,session-02,128,131072,255.7493,256,3739401565,14136295,3642070,3725134198
110019,session-03,128,131072,255.7494,256,3739773886,14135619,3642499,3725507195
110019,session-04,128,131072,255.7493,256,3738669902,14137671,3641437,3724401159
120024,session-01,128,131072,238.4470,256,4079486345,1109670592,2903308,2969684681
120024,session-02,128,131072,255.7499,256,4051354965,15315601,3945887,4035908292
120024,session-03,128,130389,255.7499,256,4051809222,15313558,3946383,4036365275
120024,session-04,128,131072,255.7498,256,4050376525,15316635,3945021,4034928818
130024,session-01,128,131072,238.3790,256,4418009772,1204972093,3141077,3212906607
130024,session-02,128,130730,255.7502,256,4393836151,16624612,4279443,4377080809
130024,session-03,128,131072,255.7502,256,4394795914,16621886,4280435,4378042956
130024,session-04,128,131072,255.7501,256,4392920848,16625306,4278633,4376164470
140025,session-01,128,131072,238.3658,256,4761776445,1300039817,3384201,3461605556
140025,session-02,128,131072,255.7507,256,4741130478,17934307,4617692,4723065099
140025,session-03,128,130730,255.7507,256,4741927780,17931239,4618519,4723865811
140025,session-04,128,130730,255.7506,256,4739741375,17935343,4616449,4721675302
150027,session-01,128,131072,238.3472,256,5103245589,1394950848,3625235,3708163669
150027,session-02,128,130388,255.7510,256,5086891888,19240244,4954450,5067521256
150027,session-03,128,130730,255.7510,256,5087614418,19238885,4955198,5068244803
150027,session-04,128,131072,255.7509,256,5085357020,19243671,4953062,5065982277
160027,session-01,128,131072,238.3459,256,5443208431,1488305760,3866327,3954771599
160027,session-02,128,130389,255.7512,256,5430557822,20549939,5289175,5409877494
160027,session-03,128,130389,255.7513,256,5431727821,20547555,5290374,5411049877
160027,session-04,128,131072,255.7512,256,5429520284,20553366,5288272,5408835846
170028,session-01,128,131072,238.3408,256,5786246365,1582580557,4109490,4203534736
170028,session-02,128,129706,255.7515,256,5777832356,21857925,5627396,5755844725
170028,session-03,128,131072,255.7516,256,5778735789,21856909,5628323,5756747808
170028,session-04,128,131072,255.7515,256,5776451777,21863402,5626157,5754457303
180032,session-01,128,131072,238.3251,256,6129421187,1677897109,4351765,4451393006
180032,session-02,128,131072,255.7518,256,6124991215,23167277,5965474,6101692866
180032,session-03,128,131072,255.7519,256,6126323724,23166604,5966801,6103026048
180032,session-04,128,131072,255.7518,256,6123591528,23173780,5964229,6100286676
190033,session-01,128,131072,238.3106,256,6466144092,1771508356,4589437,4694504664
190033,session-02,128,131072,255.7519,256,6465783146,24477314,6297385,6441174760
190033,session-03,128,131072,255.7519,256,6467583259,24475958,6299162,6442976229
190033,session-04,128,131072,255.7518,256,6464303568,24482792,6296071,6439689704
200035,session-01,128,130389,238.2996,256,6807542929,1866289685,4830528,4941122855
200035,session-02,128,131072,255.7521,256,6811287517,25788034,6633892,6785368411
200035,session-03,128,131072,255.7521,256,6812940538,25785653,6635496,6787023813
200035,session-04,128,131072,255.7520,256,6809846521,25790436,6632599,6783925013
210036,session-01,128,131072,238.2932,256,7149366389,1960815698,5072280,5188419619
210036,session-02,128,131072,255.7523,256,7125314549,26966999,6939711,7098216478
210036,session-03,128,130389,255.7524,256,7126998312,26962910,6941327,7099905013
210036,session-04,128,131072,255.7522,256,7123208622,26966667,6937776,7096110883
220036,session-01,128,130389,238.2924,256,7493598626,2055462874,5316275,5438005363
220036,session-02,128,130389,255.7525,256,7473115086,28275669,7278443,7444709028
220036,session-03,128,131072,255.7526,256,7474484833,28271238,7279745,7446082523
220036,session-04,128,131072,255.7525,256,7470336343,28276703,7275895,7441928568
230037,session-01,128,131072,238.2902,256,7838468146,2150252392,5560735,5688084682
230037,session-02,128,131072,255.7528,256,7821449812,29583657,7617703,7791735083
230037,session-03,128,131072,255.7528,256,7822747878,29580933,7618930,7793035873
230037,session-04,128,130388,255.7527,256,7818322552,29585372,7614826,7788606792
240040,session-01,128,130389,238.2739,256,8180381071,2245078793,5802266,5935171889
240040,session-02,128,130389,255.7530,256,8170757319,30892668,7957919,8139734262
240040,session-03,128,130730,255.7530,256,8171923648,30889603,7959008,8140903315
240040,session-04,128,131072,255.7529,256,8167104401,30893357,7954531,8136079972
250040,session-01,128,131072,238.2737,256,8524881911,2339733828,6046529,6185017011
250040,session-02,128,131072,255.7531,256,8516868554,32201680,8295030,8484535802
250040,session-03,128,130047,255.7532,256,8518074135,32197249,8296157,8485746839
250040,session-04,128,130730,255.7530,256,8512947707,32201344,8291368,8480615633
260044,session-01,128,131072,238.2740,256,8870054571,2434669120,6291129,6435254379
260044,session-02,128,131072,255.7533,256,8866191787,33511716,8635224,8832548999
260044,session-03,128,131072,255.7534,256,8867355710,33507627,8636327,8833717011
260044,session-04,128,131072,255.7532,256,8862366499,33510355,8631697,8828725072
270047,session-01,128,131072,238.2711,256,9214767441,2529856993,6535049,6684779376
270047,session-02,128,131072,255.7535,256,9215218748,34821069,8975139,9180266607
270047,session-03,128,131072,255.7535,256,9216413706,34817322,8976309,9181465312
270047,session-04,128,131072,255.7534,256,9211129268,34819024,8971357,9176179172
280047,session-01,128,131072,238.2647,256,9556800114,2624898752,6776509,6931770290
280047,session-02,128,131072,255.7536,256,9561106788,36129397,9312008,9524846319
280047,session-03,128,131072,255.7536,256,9562499715,36126334,9313381,9526242309
280047,session-04,128,131072,255.7535,256,9556977375,36129402,9308181,9520716901
290047,session-01,128,131072,238.2630,256,9901638906,2719816271,7020820,7181691563
290047,session-02,128,131072,255.7538,256,9910848822,37438409,9652641,9873279341
290047,session-03,128,131072,255.7538,256,9912148555,37433637,9653926,9874583846
290047,session-04,128,131072,255.7537,256,9906299585,37439097,9648389,9868729416
