elapsed_ms,pid,rss_kb,fd_count,session_count,reader_thread_alive
0,3552,117056,22,4,true
10008,3552,118608,22,4,true
20008,3552,118320,21,4,true
30014,3552,117712,21,4,true
40014,3552,117376,21,4,true
50018,3552,117376,21,4,true
60018,3552,117376,21,4,true
70018,3552,117376,21,4,true
80018,3552,117360,21,4,true
90019,3552,117360,21,4,true
100019,3552,117376,21,4,true
110019,3552,117376,21,4,true
120024,3552,117376,21,4,true
130024,3552,117376,21,4,true
140025,3552,117376,21,4,true
150027,3552,117376,21,4,true
160027,3552,117376,21,4,true
170028,3552,117376,21,4,true
180032,3552,117376,21,4,true
190033,3552,117392,21,4,true
200035,3552,117392,21,4,true
210036,3552,117392,21,4,true
220036,3552,117392,21,4,true
230037,3552,117392,21,4,true
240040,3552,117392,21,4,true
250040,3552,117392,21,4,true
260044,3552,117392,21,4,true
270047,3552,117392,21,4,true
280047,3552,117392,21,4,true
290047,3552,117392,21,4,true
