elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
0,session-02,0,0,0.0000,0,0,0,0,0
0,session-03,0,0,0.0000,0,0,0,0,0
0,session-04,0,0,0.0000,0,0,0,0,0
5078,session-01,128,130730,246.2333,256,145838559,20686819,122258,125021010
5078,session-02,128,129706,246.2024,256,146150538,20702860,122545,125317972
5078,session-03,128,131072,246.2135,256,146172023,20621275,122657,125419676
5078,session-04,128,130730,246.2452,256,146010233,20697052,122421,125182451
10077,session-01,128,131072,247.8478,256,312363246,38098894,268082,274133280
10077,session-02,128,129706,247.8454,256,312132486,37973957,268000,274028823
10077,session-03,128,130730,247.8483,256,313088175,38019684,268917,274937761
10077,session-04,128,131072,247.8621,256,312875885,38098533,268610,274646280
15078,session-01,128,131072,248.2628,256,480699765,56296029,414874,424272664
15078,session-02,128,131072,248.2711,256,481059505,56168020,415381,424760413
15078,session-03,128,131072,248.2749,256,482173897,56211013,416469,425831812
15078,session-04,128,130047,248.2794,256,481669086,56294991,415879,425244048
20078,session-01,128,130389,248.4855,256,648776870,74232389,561665,574414092
20078,session-02,128,131072,248.4979,256,650805050,74228281,563688,576445697
20078,session-03,128,131072,248.5014,256,650890324,74143619,563894,576615633
20078,session-04,128,131072,248.5015,256,650102206,74224524,563016,575746610
25082,session-01,128,131072,248.5545,256,816837937,92952108,707670,723754757
25082,session-02,128,131072,248.5693,256,819420770,92947662,710241,726342036
25082,session-03,128,131072,248.5705,256,820453583,92987917,711264,727334594
25082,session-04,128,131072,248.5680,256,819388990,93074625,710097,726183293
30081,session-01,128,131072,248.6041,256,983169123,111410706,852242,871627345
30081,session-02,128,131072,248.6220,256,986516538,111407282,855554,874978184
30081,session-03,128,131072,248.6240,256,987666078,111443785,856727,876091221
30081,session-04,128,131072,248.6210,256,985357683,111397372,854436,873829239
35081,session-01,128,130046,248.6554,256,1151986224,129861450,999266,1021994728
35081,session-02,128,131072,248.6744,256,1155950425,129855630,1003187,1025963723
35081,session-03,128,131072,248.6777,256,1156213528,129765847,1003606,1026316609
35081,session-04,128,131072,248.6720,256,1154541036,129846744,1001813,1024563220
40082,session-01,128,130389,248.7008,256,1319830553,148048683,1145578,1171651481
40082,session-02,128,130388,248.7205,256,1324374307,148050376,1150074,1176193543
40082,session-03,128,130730,248.7225,256,1324480408,147957862,1150337,1176391816
40082,session-04,128,130047,248.7161,256,1322519142,148043540,1148271,1174345555
45086,session-01,128,130730,248.7640,256,1489937226,165856019,1294471,1323950477
45086,session-02,128,129706,248.7846,256,1495172186,165852937,1299650,1329189543
45086,session-03,128,130730,248.7848,256,1496085165,165886025,1300608,1330068410
45086,session-04,128,130730,248.7794,256,1493051118,165849854,1297582,1327070534
50089,session-01,128,131072,248.7704,256,1658155632,184575055,1440637,1473449505
50089,session-02,128,130730,248.7909,256,1663844603,184572999,1446242,1479140874
50089,session-03,128,130730,248.7932,256,1664071136,184467498,1446676,1479472908
50089,session-04,128,130730,248.7861,256,1661677090,184568210,1444155,1476978150
55089,session-01,128,130389,248.6973,256,1825201558,205384065,1583627,1619687104
55089,session-02,128,131072,248.7184,256,1830307177,205252652,1588809,1624923453
55089,session-03,128,129705,248.7195,256,1831442682,205280611,1589992,1626032366
55089,session-04,128,131072,248.7121,256,1828822326,205382006,1587242,1623309248
60090,session-01,128,131072,248.6371,256,1992462559,226196497,1726797,1766134990
60090,session-02,128,131072,248.6589,256,1998180527,226070548,1732586,1771978907
60090,session-03,128,131072,248.6595,256,1999192789,226095091,1733649,1772966626
60090,session-04,128,130730,248.6524,256,1996528084,226196490,1730852,1770200864
65094,session-01,128,130389,248.5820,256,2156225223,246744395,1866812,1909350439
65094,session-02,128,130047,248.6038,256,2163472682,246745757,1873997,1916596878
65094,session-03,128,131072,248.6037,256,2164490747,246771662,1875054,1917588013
65094,session-04,128,131072,248.5972,256,2160552884,246745070,1871130,1913676742
70098,session-01,128,131072,248.5370,256,2320674628,267164292,2007656,2053379264
70098,session-02,128,131072,248.5572,256,2328210505,267164289,2015116,2060915144
70098,session-03,128,130389,248.5620,256,2329485242,267187803,2016439,2062167050
70098,session-04,128,131072,248.5528,256,2325056905,267169068,2012012,2057756765
75099,session-01,128,129363,248.5606,256,2492478069,286142740,2157069,2206205966
75099,session-02,128,131072,248.5811,256,2499427524,286010641,2164108,2213285811
75099,session-03,128,131072,248.5858,256,2500823763,286034153,2165547,2214658538
75099,session-04,128,131072,248.5762,256,2497181178,286154003,2161747,2210896103
80105,session-01,128,131072,248.5309,256,2660964379,306818288,2301638,2354015019
80105,session-02,128,131072,248.5511,256,2669391493,306811115,2309974,2362449306
80105,session-03,128,131072,248.5556,256,2670821189,306843503,2311424,2363846614
80105,session-04,128,131072,248.5458,256,2666898355,306959599,2307365,2359807684
85101,session-01,128,131072,248.4982,256,2830417716,327890132,2446724,2502396512
85101,session-02,128,131072,248.5192,256,2838447190,327757006,2454789,2510559112
85101,session-03,128,131072,248.5239,256,2840033891,327789397,2456401,2512113422
85101,session-04,128,130389,248.5138,256,2835788164,327904131,2452035,2507753644
90101,session-01,128,131072,248.4765,256,2999390132,348571146,2591714,2650687914
90101,session-02,128,131072,248.4981,256,3009267240,348577636,2601452,2660558532
90101,session-03,128,131072,248.5026,256,3010881599,348606952,2603086,2662143575
90101,session-04,128,131072,248.4927,256,3006462122,348724757,2598566,2657606293
95105,session-01,128,131072,248.4527,256,3168807993,369518404,2736864,2799158517
95105,session-02,128,131072,248.4755,256,3179618647,369519427,2747515,2809968148
95105,session-03,128,131072,248.4800,256,3181262344,369547721,2749220,2811583551
95105,session-04,128,130730,248.4697,256,3176521684,369673042,2744365,2806717912
100106,session-01,128,130388,248.4281,256,3337857862,390599125,2881570,2947128349
100106,session-02,128,131072,248.4513,256,3348189282,390461561,2891876,2957596649
100106,session-03,128,131072,248.4556,256,3349893081,390491907,2893620,2959270102
100106,session-04,128,130730,248.4451,256,3344812094,390620644,2888452,2954060720
105108,session-01,128,131072,248.4071,256,3505302837,411413263,3024913,3093758502
105108,session-02,128,131072,248.4307,256,3517399969,411405746,3036825,3105863151
105108,session-03,128,131072,248.4347,256,3519067927,411430969,3038541,3107505886
105108,session-04,128,131072,248.4247,256,3512829106,411434785,3032395,3101263249
110109,session-01,128,131072,248.3782,256,3671348002,432272118,3166856,3238944812
110109,session-02,128,131072,248.3997,256,3684012427,432314779,3179281,3251566576
110109,session-03,128,131072,248.4012,256,3685548968,432291522,3180911,3253126374
110109,session-04,128,131072,248.3916,256,3680191444,432433586,3175516,3247626786
115111,session-01,128,131072,248.3668,256,3843827635,453357622,3314876,3390338941
115111,session-02,128,131072,248.3893,256,3856312817,453250085,3327283,3402931660
115111,session-03,128,131072,248.3902,256,3857588614,453236393,3328631,3404221149
115111,session-04,128,131072,248.3806,256,3852061124,453383923,3323058,3398546129
120111,session-01,128,131072,248.3543,256,4014087558,474305908,3460870,3539650578
120111,session-02,128,129706,248.3771,256,4027164629,474195979,3473845,3552838944
120111,session-03,128,131072,248.3779,256,4028439377,474177508,3475205,3554130797
120111,session-04,128,131072,248.3683,256,4022688325,474325715,3469409,3548231538
125111,session-01,128,131072,248.3443,256,4185155428,495250780,3607654,3689773576
125111,session-02,128,131072,248.3674,256,4198894677,495145973,3621270,3703617632
125111,session-03,128,131072,248.3680,256,4200080017,495125106,3622524,3704823839
125111,session-04,128,130730,248.3585,256,4194143250,495270586,3616580,3698741934
130113,session-01,128,130730,248.3307,256,4353736359,516200774,3751986,3837404855
130113,session-02,128,131072,248.3533,256,4368786297,516219867,3766791,3852435358
130113,session-03,128,131072,248.3545,256,4370316035,516198653,3768366,3853986310
130113,session-04,128,131072,248.3444,256,4363851254,516345160,3761902,3847375022
135113,session-01,128,131072,248.3182,256,4523445740,537281499,3897291,3986033169
135113,session-02,128,130389,248.3408,256,4537849526,537162682,3911600,4000556455
135113,session-03,128,131072,248.3419,256,4539369031,537146255,3913156,4002091704
135113,session-04,128,131072,248.3319,256,4532770784,537290371,3906570,3995349341
140116,session-01,128,131072,248.3090,256,4693547291,558221588,4043123,4135194631
140116,session-02,128,131072,248.3317,256,4708499265,558105501,4057963,4150262692
140116,session-03,128,131072,248.3327,256,4709953226,558095563,4059458,4151726591
140116,session-04,128,130730,248.3223,256,4702944040,558240362,4052451,4144572948
145116,session-01,128,131072,248.2993,256,4862948128,579169533,4188245,4283647523
145116,session-02,128,130389,248.3220,256,4879474655,579178029,4204510,4300166237
145116,session-03,128,131072,248.3236,256,4880223400,579038040,4205453,4301054288
145116,session-04,128,131072,248.3128,256,4872693672,579186599,4197937,4293376001
150116,session-01,128,131072,248.2912,256,5032906991,600113037,4333948,4432662882
150116,session-02,128,130389,248.3144,256,5050265362,600121534,4351016,4450013439
150116,session-03,128,131072,248.3156,256,5051924441,600104075,4352728,4451689294
150116,session-04,128,130730,248.3051,256,5043221555,600127367,4344184,4442963458
155118,session-01,128,131072,248.2829,256,5203492887,621195130,4480130,4582166685
155118,session-02,128,131072,248.3063,256,5220411642,621070502,4496883,4599210068
155118,session-03,128,131072,248.3078,256,5222228396,621043475,4498765,4601053849
155118,session-04,128,131072,248.2971,256,5214297943,621198184,4490851,4592968687
160119,session-01,128,131072,248.2723,256,5372102818,642270387,4624373,4729701359
160119,session-02,128,131072,248.2961,256,5390862696,642277171,4642813,4748454453
160119,session-03,128,130389,248.2978,256,5392859354,642246046,4644867,4750482919
160119,session-04,128,130047,248.2868,256,5383451952,642274464,4635624,4741047441
165122,session-01,128,131072,248.2647,256,5541343533,663211838,4769363,4878000623
165122,session-02,128,131072,248.2892,256,5561062552,663227163,4788739,4897704317
165122,session-03,128,131072,248.2910,256,5563235000,663192966,4790957,4899910962
165122,session-04,128,131072,248.2797,256,5554384326,663356214,4782133,4890897040
170124,session-01,128,131072,248.2568,256,5710024119,684161487,4913801,5025731560
170124,session-02,128,131072,248.2815,256,5730439809,684169637,4933846,5046139100
170124,session-03,128,130389,248.2836,256,5732773690,684142274,4936240,5048501027
170124,session-04,128,131072,248.2720,256,5723552348,684303133,4927047,5039118143
175128,session-01,128,131072,248.2517,256,5880474880,705108404,5059937,5175235404
175128,session-02,128,131072,248.2769,256,5901773928,705114505,5080871,5196528351
175128,session-03,128,131072,248.2786,256,5903930647,705090900,5083101,5198708675
175128,session-04,128,131072,248.2672,256,5894520890,705255861,5073720,5189133957
