elapsed_ms,pid,rss_kb,fd_count,session_count,reader_thread_alive
0,83070,116576,22,4,true
5078,83070,120768,22,4,true
10077,83070,120544,21,4,true
15078,83070,120320,21,4,true
20078,83070,120336,21,4,true
25082,83070,120368,21,4,true
30081,83070,119712,21,4,true
35081,83070,119664,21,4,true
40082,83070,119328,21,4,true
45086,83070,119328,21,4,true
50089,83070,122256,21,4,true
55089,83070,122208,21,4,true
60090,83070,122240,21,4,true
65094,83070,122224,21,4,true
70098,83070,122240,21,4,true
75099,83070,122368,21,4,true
80105,83070,122368,21,4,true
85101,83070,122352,21,4,true
90101,83070,122336,21,4,true
95105,83070,122352,21,4,true
100106,83070,122352,21,4,true
105108,83070,122352,21,4,true
110109,83070,122368,21,4,true
115111,83070,122368,21,4,true
120111,83070,122352,21,4,true
125111,83070,122352,21,4,true
130113,83070,122368,21,4,true
135113,83070,122352,21,4,true
140116,83070,122352,21,4,true
145116,83070,121664,21,4,true
150116,83070,121664,21,4,true
155118,83070,121680,21,4,true
160119,83070,121680,21,4,true
165122,83070,121680,21,4,true
170124,83070,121664,21,4,true
175128,83070,121680,21,4,true
