elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
0,session-02,0,0,0.0000,0,0,0,0,0
0,session-03,0,0,0.0000,0,0,0,0,0
0,session-04,0,0,0.0000,0,0,0,0,0
5262,session-01,128,131072,255.5713,256,138448698,524288,134753,137793338
5262,session-02,128,131072,244.4199,256,143769732,24862676,116147,118775984
5262,session-03,128,130730,244.3993,256,142871000,24738781,115397,118001489
5262,session-04,128,131072,244.3781,256,143232811,24860972,115630,118240767
10264,session-01,128,129705,255.6455,256,286452619,1178623,278888,285144291
10264,session-02,128,131072,243.8699,256,288232008,50011047,232835,238089889
10264,session-03,128,130730,243.7411,256,287697454,50057473,232299,237509251
10264,session-04,128,131072,243.7613,256,288041874,50236664,232439,237674138
15265,session-01,128,131072,255.6820,256,425532104,1702911,414385,423698121
15265,session-02,128,131072,244.7693,256,458471066,75668703,374255,382671291
15265,session-03,128,131072,244.6740,256,457325860,75707608,373109,381487180
15265,session-04,128,131072,244.6860,256,457706158,75896367,373250,381678719
20265,session-01,128,131072,255.7137,256,620156697,2356905,604078,617668720
20265,session-02,128,130730,245.1575,256,626558729,101187428,513661,525240571
20265,session-03,128,130047,245.0667,256,624854750,101221547,511992,523503156
20265,session-04,128,131072,245.0791,256,625239500,101415093,512120,523693335
25265,session-01,128,130388,255.7231,256,793465033,3011240,772931,790323405
25265,session-02,128,131072,245.4146,256,797130279,126709909,655500,670289298
25265,session-03,128,130730,245.3389,256,795034074,126735484,653477,668167860
25265,session-04,128,129706,245.3485,256,795432155,126937233,653598,668365216
30267,session-01,128,131072,255.7280,256,932174176,3535186,908049,928507918
30267,session-02,128,131072,245.5928,256,967994693,152113958,797738,815749663
30267,session-03,128,130730,245.5248,256,964493875,151997185,794509,812365960
30267,session-04,128,131072,245.5322,256,964893347,152199620,794591,812562655
35267,session-01,128,131072,255.7313,256,1100583002,4187814,1072132,1096264116
35267,session-02,128,129705,245.5780,256,1132416720,178938964,932347,953348051
35267,session-03,128,130047,245.5137,256,1129057557,178954623,929123,949972887
35267,session-04,128,131072,245.5235,256,1129037561,179019157,928920,949887332
40268,session-01,128,131072,255.7351,256,1275671658,4840441,1242795,1270700145
40268,session-02,128,131072,245.5011,256,1291866180,206273565,1061616,1085461543
40268,session-03,128,130389,245.4385,256,1287800827,206296732,1057665,1081373706
40268,session-04,128,131072,245.4474,256,1288591820,206490973,1058149,1081969775
45271,session-01,128,130389,255.7364,256,1442112644,5495459,1404997,1436486796
45271,session-02,128,131072,245.4962,256,1449300061,232047257,1190445,1217121732
45271,session-03,128,131072,245.4362,256,1444659205,232061533,1185942,1212466600
45271,session-04,128,130730,245.4457,256,1445666968,232264322,1186629,1213271916
50272,session-01,128,131072,255.7374,256,1608266908,6150819,1566915,1601985017
50272,session-02,128,129705,245.5305,256,1612645492,257824026,1325045,1354691761
50272,session-03,128,131072,245.4746,256,1606870386,257708589,1319560,1349030725
50272,session-04,128,131072,245.4820,256,1607745741,257912067,1320092,1349702602
55276,session-01,128,131072,255.7383,256,1742475525,6674424,1697695,1735670029
55276,session-02,128,131072,245.5281,256,1778918598,284913563,1461171,1493873963
55276,session-03,128,130730,245.4725,256,1773118239,284930905,1455534,1488056604
55276,session-04,128,131072,245.4819,256,1773621874,285001948,1455843,1488488854
60286,session-01,128,130730,255.7421,256,1931915577,7329784,1882330,1924455063
60286,session-02,128,131072,245.5359,256,1941786545,310565059,1595396,1631090414
60286,session-03,128,130389,245.4770,256,1935475563,310549300,1589282,1624795874
60286,session-04,128,131072,245.4836,256,1936904898,310776326,1590333,1625997500
65292,session-01,128,130389,255.7429,256,2101973060,7984802,2047990,2093857869
65292,session-02,128,131072,245.5824,256,2109101412,336216217,1733934,1772754123
65292,session-03,128,131072,245.5264,256,2102398254,336200806,1727435,1766066376
65292,session-04,128,130047,245.5320,256,2103744979,336424068,1728404,1767190864
70293,session-01,128,131072,255.7436,256,2272908121,8640162,2214507,2264136887
70293,session-02,128,130388,245.6176,256,2276246644,361995383,1872187,1914120873
70293,session-03,128,130389,245.5641,256,2269151637,361975864,1865309,1907045384
70293,session-04,128,131072,245.5696,256,2270572722,362199806,1866366,1908241844
75294,session-01,128,131072,255.7444,256,2411642871,9163084,2349662,2402348715
75294,session-02,128,131072,245.6631,256,2446957104,387775563,2013912,2059050469
75294,session-03,128,130730,245.6124,256,2438840488,387627713,2006159,2051082045
75294,session-04,128,130389,245.6167,256,2440041074,387853698,2007003,2052056987
80297,session-01,128,130389,255.7469,256,2602696421,9817077,2535860,2592748955
80297,session-02,128,131072,245.6883,256,2613517299,413423648,2151705,2199962579
80297,session-03,128,131072,245.6406,256,2605022144,413288098,2143575,2191602974
80297,session-04,128,131072,245.6449,256,2606296802,413499736,2144493,2192665994
85300,session-01,128,130730,255.7473,256,2773919220,10471754,2702648,2763316736
85300,session-02,128,131072,245.7135,256,2781404931,439206559,2290673,2342067300
85300,session-03,128,130730,245.6655,256,2772859940,439202079,2282352,2333527131
85300,session-04,128,131072,245.6709,256,2773701806,439279237,2282971,2334291497
90298,session-01,128,130388,255.7474,256,2908000885,10996042,2833279,2896874455
90298,session-02,128,131072,245.7285,256,2946368688,464852250,2426922,2481385366
90298,session-03,128,130388,245.6825,256,2937606952,464853922,2418378,2472622642
90298,session-04,128,130389,245.6859,256,2938768296,465064885,2419191,2473573022
95298,session-01,128,130389,255.7478,256,3080338144,11649352,3001168,3068558403
95298,session-02,128,131072,245.7802,256,3116398179,489447658,2569142,2626819449
95298,session-03,128,131072,245.7346,256,3107014232,489470512,2559943,2617412648
95298,session-04,128,131072,245.7394,256,3107791536,489540499,2560557,2618119965
100300,session-01,128,131072,255.7497,256,3272310579,12304028,3188250,3259875479
100300,session-02,128,130730,245.7980,256,3283850284,515100181,2707793,2768619373
100300,session-03,128,131072,245.7534,256,3274003482,515119964,2698156,2758752446
100300,session-04,128,131072,245.7587,256,3275020066,515188238,2698990,2759700756
105300,session-01,128,131072,255.7500,256,3445335278,12958363,3356806,3432245843
105300,session-02,128,129705,245.8185,256,3453628240,540887543,2848597,2912610992
105300,session-03,128,131072,245.7756,256,3442745462,540773176,2838091,2901841214
105300,session-04,128,131072,245.7795,256,3444248114,540971498,2839263,2903145544
110300,session-01,128,131072,255.7512,256,3596762520,13480943,3504336,3583150505
110300,session-02,128,130730,245.9009,256,3624642852,563262928,2993926,3061249194
110300,session-03,128,130730,245.8596,256,3613540930,563158130,2983200,3050252070
110300,session-04,128,131072,245.8636,256,3615123817,563359522,2984437,3051633223
115301,session-01,128,131072,255.7514,256,3770630647,14134253,3673726,3756365322
115301,session-02,128,131072,245.8853,256,3792443464,590479098,3131390,3201833294
115301,session-03,128,130047,245.8415,256,3780909397,590510488,3120122,3190268862
115301,session-04,128,130389,245.8478,256,3782276903,590586620,3121277,3191559894
120301,session-01,128,130389,255.7515,256,3941198770,14789271,3839883,3926279110
120301,session-02,128,131072,245.8663,256,3959228602,617830441,3267737,3341267089
120301,session-03,128,129705,245.8249,256,3947108468,617738608,3256015,3329240155
120301,session-04,128,131072,245.8303,256,3949012880,617936244,3257585,3330945564
125303,session-01,128,131072,255.7515,256,4110908783,15443947,4005208,4095333764
125303,session-02,128,130389,245.8503,256,4125774801,645054807,3403988,3480589605
125303,session-03,128,130730,245.8076,256,4113307518,645092679,3391787,3468084109
125303,session-04,128,130730,245.8141,256,4114931358,645157192,3393213,3469643436
130305,session-01,128,131072,255.7514,256,4279066376,16097940,4169033,4262837364
130305,session-02,128,130730,245.8242,256,4290191718,672517405,3537935,3617543583
130305,session-03,128,131072,245.7843,256,4277172153,672566888,3525205,3604474193
130305,session-04,128,131072,245.7897,256,4279270445,672759398,3526961,3606379975
135309,session-01,128,131072,255.7512,256,4445454861,16752958,4331122,4428570831
135309,session-02,128,131072,245.7973,256,4453685694,699997423,3670961,3753557199
135309,session-03,128,131072,245.7596,256,4440380096,700049639,3657956,3740199385
135309,session-04,128,130388,245.7643,256,4442743920,700237367,3659978,3742376165
140313,session-01,128,131072,255.7517,256,4591012509,17274855,4472941,4573606582
140313,session-02,128,129705,245.8505,256,4624128216,723161970,3814968,3900836541
140313,session-03,128,130389,245.8146,256,4610135184,723080382,3801420,3886924413
140313,session-04,128,131072,245.8191,256,4612493192,723279723,3803425,3889082397
145317,session-01,128,130389,255.7521,256,4768451984,17929190,4645837,4750392405
145317,session-02,128,131072,245.8378,256,4792546258,750643700,3952808,4041771486
145317,session-03,128,131072,245.8009,256,4778343987,750689421,3938933,4027523494
145317,session-04,128,129022,245.8066,256,4780498911,750753593,3940867,4029616296
150321,session-01,128,130730,255.7521,256,4937775592,18584550,4810786,4919060312
150321,session-02,128,131072,245.8186,256,4958221357,778253082,4087837,4179837203
150321,session-03,128,130388,245.7829,256,4943207409,778170810,4073288,4164906211
150321,session-04,128,130389,245.7878,256,4945897872,778370150,4075620,4167397333
155321,session-01,128,131072,255.7523,256,5112911769,19239568,4981420,5093541129
155321,session-02,128,130047,245.8300,256,5127114892,804042490,4227795,4322942355
155321,session-03,128,130389,245.7941,256,5112237133,804083090,4213251,4308023654
155321,session-04,128,130389,245.7997,256,5114511153,804150331,4215316,4310230433
160321,session-01,128,131072,255.7523,256,5283969371,19894245,5148035,5263944054
160321,session-02,128,131072,245.8398,256,5294759516,829690924,4366635,4464937520
160321,session-03,128,131072,245.8041,256,5279316478,829724342,4351567,4449461064
160321,session-04,128,130047,245.8099,256,5281813058,829806617,4353843,4451876394
165321,session-01,128,131072,255.7524,256,5456887220,20548238,5316493,5436207910
165321,session-02,128,129706,245.8536,256,5464862746,855339349,4507886,4609393691
165321,session-03,128,130389,245.8182,256,5448944584,855374137,4492347,4593440058
165321,session-04,128,131072,245.8234,256,5451207684,855460854,4494393,4595615758
170321,session-01,128,131072,255.7526,256,5596514568,21071843,5452500,5575311653
170321,session-02,128,131072,245.8666,256,5636677782,881254704,4650537,4755292006
170321,session-03,128,129705,245.8324,256,5619951676,881161496,4634345,4738660475
170321,session-04,128,130047,245.8367,256,5622678646,881373136,4636720,4741175463
175323,session-01,128,131072,255.7536,256,5790474936,21725152,5641520,5768618712
175323,session-02,128,130047,245.8591,256,5802832818,906948531,4787896,4895754240
175323,session-03,128,130389,245.8220,256,5785829890,906846793,4771431,4878852708
175323,session-04,128,130388,245.8257,256,5788655495,907022932,4773950,4881502175
