elapsed_ms,pid,rss_kb,fd_count,session_count,reader_thread_alive
0,65087,116800,22,4,true
5262,65087,121360,22,4,true
10264,65087,121136,21,4,true
15265,65087,120816,21,4,true
20265,65087,120480,21,4,true
25265,65087,120496,21,4,true
30267,65087,119968,21,4,true
35267,65087,119936,21,4,true
40268,65087,119936,21,4,true
45271,65087,119936,21,4,true
50272,65087,119920,21,4,true
55276,65087,119936,21,4,true
60286,65087,119952,21,4,true
65292,65087,120000,21,4,true
70293,65087,119936,21,4,true
75294,65087,119952,21,4,true
80297,65087,119952,21,4,true
85300,65087,119952,21,4,true
90298,65087,119936,21,4,true
95298,65087,119952,21,4,true
100300,65087,119952,21,4,true
105300,65087,119952,21,4,true
110300,65087,119936,21,4,true
115301,65087,119952,21,4,true
120301,65087,119952,21,4,true
125303,65087,119936,21,4,true
130305,65087,119952,21,4,true
135309,65087,119936,21,4,true
140313,65087,119968,21,4,true
145317,65087,119968,21,4,true
150321,65087,119968,21,4,true
155321,65087,119952,21,4,true
160321,65087,119968,21,4,true
165321,65087,119968,21,4,true
170321,65087,119968,21,4,true
175323,65087,120032,21,4,true
