elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
0,session-02,0,0,0.0000,0,0,0,0,0
0,session-03,0,0,0.0000,0,0,0,0,0
0,session-04,0,0,0.0000,0,0,0,0,0
5075,session-01,0,0,0.0000,0,0,0,0,0
5075,session-02,128,131072,242.6103,256,134237004,25937887,105772,108168045
5075,session-03,128,131072,242.5789,256,134642145,26000337,106115,108510736
5075,session-04,128,131072,242.7647,256,134521338,26016047,105962,108374219
10075,session-01,0,0,0.0000,0,0,0,0,0
10075,session-02,128,130730,244.0157,256,302681374,54345659,242700,248204985
10075,session-03,128,131072,244.0046,256,302483367,54261665,242605,248090630
10075,session-04,128,131072,244.0931,256,302503190,54289329,242578,248082789
15075,session-01,0,0,0.0000,0,0,0,0,0
15075,session-02,128,130389,244.5514,256,473763589,82227776,382701,391405424
15075,session-03,128,131072,244.5420,256,474169375,82275535,383096,391762768
15075,session-04,128,130389,244.6011,256,473588471,82175204,382579,391282878
20077,session-01,0,0,0.0000,0,0,0,0,0
20077,session-02,128,131072,244.7457,256,641542705,110096914,519484,531314719
20077,session-03,128,131072,244.7403,256,642041663,110156973,519977,531753618
20077,session-04,128,131072,244.7851,256,642249227,110181221,520123,531936934
25081,session-01,0,0,0.0000,0,0,0,0,0
25081,session-02,128,131072,244.8832,256,811087907,137983130,657965,672973705
25081,session-03,128,131072,244.8830,256,811870498,138041135,658752,673698291
25081,session-04,128,130389,244.9171,256,811977366,138058901,658803,673788076
30085,session-01,0,0,0.0000,0,0,0,0,0
30085,session-02,128,131072,244.9460,256,979743251,166133543,795320,813478636
30085,session-03,128,131072,244.9467,256,979818240,166047153,795568,813640015
30085,session-04,128,130730,244.9754,256,979971541,166069700,795662,813771111
35086,session-01,0,0,0.0000,0,0,0,0,0
35086,session-02,128,131072,245.0265,256,1149869387,193884931,934511,955853384
35086,session-03,128,131072,245.0277,256,1149993855,193801614,934823,956061169
35086,session-04,128,131072,245.0519,256,1150138305,193822798,934891,956184435
40089,session-01,0,0,0.0000,0,0,0,0,0
40089,session-02,128,131072,245.0776,256,1319701969,221763973,1073299,1097806924
40089,session-03,128,131072,245.0781,256,1319768071,221690908,1073552,1097946091
40089,session-04,128,131072,245.1004,256,1320069191,221710042,1073769,1098228077
45091,session-01,0,0,0.0000,0,0,0,0,0
45091,session-02,128,131072,245.1047,256,1488007792,249521168,1210696,1238355552
45091,session-03,128,131072,245.1102,256,1488854512,249577127,1211617,1239146313
45091,session-04,128,131072,245.1323,256,1488431302,249462110,1211257,1238838120
50092,session-01,0,0,0.0000,0,0,0,0,0
50092,session-02,128,131072,245.1267,256,1656195810,277398159,1347899,1378666579
50092,session-03,128,131072,245.1325,256,1657168815,277450020,1348954,1379587723
50092,session-04,128,130389,245.1519,256,1657487010,277469148,1349157,1379887473
55092,session-01,0,0,0.0000,0,0,0,0,0
55092,session-02,128,131072,245.1455,256,1825303713,305402121,1485873,1519770520
55092,session-03,128,130047,245.1503,256,1825394023,305325646,1486211,1519938330
55092,session-04,128,131072,245.1698,256,1826043305,305349212,1486727,1520563021
60092,session-01,0,0,0.0000,0,0,0,0,0
60092,session-02,128,131072,245.2586,256,1995266660,330523184,1627498,1664612404
60092,session-03,128,130389,245.2642,256,1996343751,330592468,1628695,1665620894
60092,session-04,128,128681,245.2821,256,1996246209,330477451,1628598,1665640077
65093,session-01,0,0,0.0000,0,0,0,0,0
65093,session-02,128,130730,245.2949,256,2166671080,357881018,1768347,1808659332
65093,session-03,128,131072,245.3006,256,2167081189,357813758,1769024,1809136359
65093,session-04,128,130730,245.3170,256,2167743448,357839719,1769546,1809772999
70095,session-01,0,0,0.0000,0,0,0,0,0
70095,session-02,128,131072,245.2329,256,2322210268,385050072,1893914,1937029124
70095,session-03,128,130730,245.2367,256,2323362067,385152798,1895171,1938078539
70095,session-04,128,131072,245.2501,256,2323984046,385218692,1895620,1938634282
75097,session-01,0,0,0.0000,0,0,0,0,0
75097,session-02,128,131072,245.2024,256,2481235139,412421193,2022684,2068682874
75097,session-03,128,131072,245.2069,256,2482363754,412415380,2024022,2069817302
75097,session-04,128,131072,245.2147,256,2483178559,412604158,2024547,2070443329
80097,session-01,0,0,0.0000,0,0,0,0,0
80097,session-02,128,130389,245.1314,256,2632383070,439933280,2143638,2192319401
80097,session-03,128,130730,245.1384,256,2633790181,439854422,2145327,2193805029
80097,session-04,128,131072,245.1370,256,2633807647,439986190,2145119,2193690385
85100,session-01,0,0,0.0000,0,0,0,0,0
85100,session-02,128,130389,245.1498,256,2799270955,467291452,2280074,2331849114
85100,session-03,128,131072,245.1561,256,2800610803,467209516,2281707,2333270215
85100,session-04,128,131072,245.1558,256,2800843290,467333082,2281734,2333379136
90103,session-01,0,0,0.0000,0,0,0,0,0
90103,session-02,128,130730,245.1755,256,2967970652,494522310,2418392,2473317612
90103,session-03,128,131072,245.1816,256,2969356933,494434906,2420062,2474790955
90103,session-04,128,130388,245.1806,256,2969409177,494556764,2419923,2474722025
95104,session-01,0,0,0.0000,0,0,0,0,0
95104,session-02,128,130389,245.1948,256,3136362442,521882188,2556310,2614349865
95104,session-03,128,131072,245.2006,256,3137006330,521656197,2557372,2615219061
95104,session-04,128,131072,245.1992,256,3137688337,521903323,2557718,2615653942
100104,session-01,0,0,0.0000,0,0,0,0,0
100104,session-02,128,131072,245.1611,256,3292100978,548704111,2682410,2743265795
100104,session-03,128,131072,245.1669,256,3293316939,548540579,2683967,2744645288
100104,session-04,128,130730,245.1635,256,3293217961,548752550,2683595,2744334681
105108,session-01,0,0,0.0000,0,0,0,0,0
105108,session-02,128,131072,245.1764,256,3458051231,575805600,2818171,2882114559
105108,session-03,128,129364,245.1813,256,3459042230,575628067,2819540,2883284799
105108,session-04,128,131072,245.1782,256,3458932996,575837305,2819174,2882964619
110108,session-01,0,0,0.0000,0,0,0,0,0
110108,session-02,128,130047,245.1775,256,3622762749,603418053,2952240,3019214649
110108,session-03,128,131072,245.1823,256,3623794700,603238131,2953659,3020425497
110108,session-04,128,129706,245.1796,256,3623806314,603445321,2953409,3020231287
115114,session-01,0,0,0.0000,0,0,0,0,0
115114,session-02,128,131072,245.1853,256,3787526142,630636955,3086755,3156758115
115114,session-03,128,131072,245.1882,256,3787200619,630328348,3086977,3156741199
115114,session-04,128,131072,245.1858,256,3788330415,630660464,3087702,3157538879
120114,session-01,0,0,0.0000,0,0,0,0,0
120114,session-02,128,131072,245.1076,256,3928812259,657171465,3199018,3271509722
120114,session-03,128,131072,245.1068,256,3928941039,657000760,3199570,3271809207
120114,session-04,128,131072,245.1089,256,3929493992,657165608,3199876,3272197312
125116,session-01,0,0,0.0000,0,0,0,0,0
125116,session-02,128,130389,245.1288,256,4097077446,684261687,3337036,3412685370
125116,session-03,128,131072,245.1277,256,4097038609,684099176,3337440,3412808361
125116,session-04,128,131072,245.1297,256,4097593291,684263347,3337736,3413198872
130119,session-01,0,0,0.0000,0,0,0,0,0
130119,session-02,128,131072,245.1290,256,4257662245,711347464,3467598,3546183709
130119,session-03,128,130389,245.1269,256,4257489263,711188371,3467869,3546170503
130119,session-04,128,130389,245.1298,256,4258131988,711352192,3468270,3546649407
135120,session-01,0,0,0.0000,0,0,0,0,0
135120,session-02,128,130730,245.1397,256,4422100715,738166657,3602172,3683803328
135120,session-03,128,130389,245.1406,256,4422373156,738022936,3602878,3684219831
135120,session-04,128,131072,245.1364,256,4422946258,738171728,3603206,3684643458
140124,session-01,0,0,0.0000,0,0,0,0,0
140124,session-02,128,130730,245.1176,256,4578414030,765016559,3728818,3813266741
140124,session-03,128,131072,245.1167,256,4578643453,764947264,3729425,3813565117
140124,session-04,128,130389,245.1116,256,4579539427,765157468,3730019,3814251570
145124,session-01,0,0,0.0000,0,0,0,0,0
145124,session-02,128,130389,245.1620,256,4744945849,789874103,3867379,3954941357
145124,session-03,128,130389,245.1610,256,4745132260,789810628,3867960,3955191243
145124,session-04,128,130388,245.1568,256,4745572217,789888048,3868236,3955553781
150125,session-01,0,0,0.0000,0,0,0,0,0
150125,session-02,128,131072,245.1942,256,4905383873,813948983,4000751,4091303818
150125,session-03,128,131072,245.1928,256,4905952528,813879354,4001738,4091942102
150125,session-04,128,131072,245.1929,256,4906740338,814087510,4002200,4092521756
155126,session-01,0,0,0.0000,0,0,0,0,0
155126,session-02,128,130388,245.2144,256,5073285519,840523793,4138936,4232631338
155126,session-03,128,130389,245.2127,256,5073663333,840450408,4139766,4233082536
155126,session-04,128,131072,245.2135,256,5074012185,840519637,4139943,4233361476
160131,session-01,0,0,0.0000,0,0,0,0,0
160131,session-02,128,131072,245.2397,256,5234857437,865514468,4272523,4369211897
160131,session-03,128,131072,245.2375,256,5234963522,865433567,4273111,4369398883
160131,session-04,128,131072,245.2388,256,5236370529,865642068,4274174,4370597389
165127,session-01,0,0,0.0000,0,0,0,0,0
165127,session-02,128,131072,245.2821,256,5402708916,889990767,4412723,4512587077
165127,session-03,128,129705,245.2802,256,5402130937,889775375,4412797,4512225857
165127,session-04,128,131072,245.2818,256,5403704850,889986605,4414014,4513587173
170127,session-01,0,0,0.0000,0,0,0,0,0
170127,session-02,128,131072,245.2704,256,5549264134,915076975,4531589,4634056087
170127,session-03,128,130389,245.2662,256,5548818591,914865688,4531807,4633822514
170127,session-04,128,131072,245.2678,256,5550140587,915079646,4532777,4634929869
175128,session-01,0,0,0.0000,0,0,0,0,0
175128,session-02,128,130389,245.2733,256,5710283407,941634704,4663117,4768518314
175128,session-03,128,131072,245.2691,256,5710546442,941562687,4663934,4768852683
175128,session-04,128,131072,245.2711,256,5711317191,941635324,4664483,4769550795
