elapsed_ms,pid,rss_kb,fd_count,session_count,reader_thread_alive
0,26063,117056,22,4,true
5075,26063,121280,22,4,true
10075,26063,121168,21,4,true
15075,26063,120816,21,4,true
20077,26063,120832,21,4,true
25081,26063,120864,21,4,true
30085,26063,120224,21,4,true
35086,26063,120208,21,4,true
40089,26063,119888,21,4,true
45091,26063,119872,21,4,true
50092,26063,119888,21,4,true
55092,26063,119904,21,4,true
60092,26063,119984,21,4,true
65093,26063,119968,21,4,true
70095,26063,120208,21,4,true
75097,26063,120224,21,4,true
80097,26063,122880,21,4,true
85100,26063,122784,21,4,true
90103,26063,122720,21,4,true
95104,26063,122720,21,4,true
100104,26063,122832,21,4,true
105108,26063,122848,21,4,true
110108,26063,122800,21,4,true
115114,26063,122864,21,4,true
120114,26063,122880,21,4,true
125116,26063,122848,21,4,true
130119,26063,122976,21,4,true
135120,26063,123040,21,4,true
140124,26063,122848,21,4,true
145124,26063,122832,21,4,true
150125,26063,122864,21,4,true
155126,26063,122864,21,4,true
160131,26063,122880,21,4,true
165127,26063,123216,21,4,true
170127,26063,123472,21,4,true
175128,26063,123456,21,4,true
