elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
1124,session-01,0,0,0.0000,0,0,0,0,0
2125,session-01,128,130389,248.3168,256,84872007,8955134,74769,75786484
3125,session-01,128,128339,249.8053,256,190292346,17127248,170788,173036759
4125,session-01,128,128340,249.6927,256,288914069,27107720,258288,261678009
5126,session-01,128,130388,249.5061,256,378368341,36961568,336899,341276385
6126,session-01,128,129022,249.5944,256,481440662,46684003,429046,434627637
7126,session-01,128,129363,249.6840,256,576920822,55373576,514732,521417883
8126,session-01,128,129705,249.8823,256,677579897,63148374,606447,614301818
9127,session-01,128,129023,249.8990,256,783565127,73002900,701319,710433204
