elapsed_ms,session_id,queue_depth,queued_bytes,avg_queue_depth,max_queue_depth,total_read_bytes,total_drained_bytes,dropped_chunks,dropped_bytes
0,session-01,0,0,0.0000,0,0,0,0,0
0,session-02,0,0,0.0000,0,0,0,0,0
0,session-03,0,0,0.0000,0,0,0,0,0
0,session-04,0,0,0.0000,0,0,0,0,0
10034,session-01,128,131072,246.9666,256,326185821,44748038,275105,281306711
10034,session-02,128,131072,247.0567,256,326688221,44743256,275654,281813893
10034,session-03,128,131072,247.0519,256,325818898,44766144,274734,280921682
10034,session-04,128,131072,247.0749,256,324985357,44625163,274064,280229122
20034,session-01,128,130389,246.4658,256,629264133,87439551,529741,541694193
20034,session-02,128,130046,246.5367,256,630676543,87321791,531277,543224706
20034,session-03,128,130730,246.5515,256,628468821,87189369,529219,541148722
20034,session-04,128,131072,246.5578,256,628529941,87244314,529214,541154555
30035,session-01,128,131072,246.8368,256,960334470,130891899,810987,829311499
30035,session-02,128,131072,246.8804,256,961476532,130772090,812281,830573370
30035,session-03,128,131072,246.8919,256,959351723,130623953,810327,828596698
30035,session-04,128,130389,246.8947,256,959254114,130695978,810193,828427747
40035,session-01,128,131072,247.0890,256,1294206499,173291919,1095984,1120783508
40035,session-02,128,130730,247.1301,256,1296636043,173180308,1098565,1123325005
40035,session-03,128,131072,247.1271,256,1293708765,173152657,1095697,1120425036
40035,session-04,128,131072,247.1360,256,1293659605,173101804,1095739,1120426729
50037,session-01,128,131072,247.1764,256,1622474843,216210760,1375008,1406133011
50037,session-02,128,131072,247.2130,256,1625112620,216112467,1377777,1408869081
50037,session-03,128,131072,247.2184,256,1622153896,216083114,1374922,1405939710
50037,session-04,128,131072,247.2155,256,1622030382,216036018,1374862,1405863292
60036,session-01,128,131072,247.2597,256,1954509505,259139165,1657663,1695239268
60036,session-02,128,131072,247.2906,256,1957262645,259045656,1660556,1698085917
60036,session-03,128,131072,247.2923,256,1953614044,259001951,1657073,1694481021
60036,session-04,128,131072,247.2912,256,1954785942,259098918,1658103,1695555952
70037,session-01,128,131072,247.2374,256,2273571724,302978239,1926834,1970462413
70037,session-02,128,130389,247.2656,256,2275815213,302733843,1929388,1972950981
70037,session-03,128,130730,247.2667,256,2272188811,302630076,1925988,1969428005
70037,session-04,128,130389,247.2583,256,2272003917,302800776,1925618,1969072752
80041,session-01,128,131072,247.2678,256,2601329051,345953736,2205346,2255244243
80041,session-02,128,131072,247.2882,256,2603909114,345772834,2208139,2258005208
80041,session-03,128,131072,247.2911,256,2599873106,345707295,2204318,2254034739
80041,session-04,128,130389,247.2853,256,2599647261,345787206,2203996,2253729666
90042,session-01,128,130730,247.2342,256,2918926258,390311971,2472568,2528483557
90042,session-02,128,131072,247.2576,256,2923335506,390130046,2477169,2533074388
90042,session-03,128,131072,247.2579,256,2918690886,389963468,2472863,2528596346
90042,session-04,128,130730,247.2533,256,2918338396,390143050,2472351,2528064616
100043,session-01,128,131072,247.2601,256,3246734122,433363592,2751038,2813239458
100043,session-02,128,131072,247.2817,256,3252672520,433226368,2757096,2819315080
100043,session-03,128,130389,247.2767,256,3247154462,433135241,2751847,2813888832
100043,session-04,128,131072,247.2764,256,3245572791,433197052,2750258,2812244667
110045,session-01,128,131072,247.3073,256,3581630135,476151017,3036671,3105348046
110045,session-02,128,131072,247.3276,256,3587899631,476018915,3043037,3111749644
110045,session-03,128,131072,247.3205,256,3580340734,475800819,3035936,3104408843
110045,session-04,128,131072,247.3216,256,3580308046,475993365,3035730,3104183609
120049,session-01,128,131072,247.3347,256,3916103935,519606784,3321238,3396366079
120049,session-02,128,130389,247.3534,256,3922471388,519467854,3327709,3402873145
120049,session-03,128,131072,247.3455,256,3915198519,519387318,3320754,3395680129
120049,session-04,128,131072,247.3471,256,3914453469,519447421,3319983,3394874976
130052,session-01,128,131072,247.3338,256,4241209772,563177902,3596564,3677900798
130052,session-02,128,131072,247.3518,256,4247759511,563043081,3603230,3684585358
130052,session-03,128,131072,247.3459,256,4240013893,562972786,3595784,3676910035
130052,session-04,128,130389,247.3475,256,4239212210,563022987,3594972,3676058834
140053,session-01,128,131072,247.3025,256,4548118775,606478332,3854395,3941509371
140053,session-02,128,131072,247.3199,256,4554889332,606334982,3861305,3948423278
140053,session-03,128,131072,247.3136,256,4546577111,606270486,3853297,3940175553
140053,session-04,128,131072,247.3161,256,4546154950,606446980,3852760,3939576898
150056,session-01,128,131072,247.2413,256,4851021889,650176426,4107933,4200714391
150056,session-02,128,131072,247.2594,256,4858530074,650080520,4115531,4208318482
150056,session-03,128,130047,247.2550,256,4848964480,649820764,4106461,4199013669
150056,session-04,128,131072,247.2493,256,4847688305,649942656,4105147,4197614577
160060,session-01,128,131072,247.1901,256,5153155904,694704620,4359969,4458320212
160060,session-02,128,131072,247.2000,256,5159497773,694254083,4366768,4465112618
160060,session-03,128,131072,247.1944,256,5149174737,694301856,4356671,4454741809
160060,session-04,128,131072,247.1870,256,5147582510,694432286,4355023,4453019152
170064,session-01,128,129706,247.2390,256,5490902986,736698099,4649226,4754075181
170064,session-02,128,130389,247.2494,256,5497914162,736254382,4656693,4761529391
170064,session-03,128,131072,247.2437,256,5487244699,736305918,4646257,4750807709
170064,session-04,128,131072,247.2365,256,5485523464,736433965,4644463,4748958427
180067,session-01,128,130730,247.1815,256,5784139745,780900314,4892944,5003108701
180067,session-02,128,131072,247.1910,256,5791713111,780468192,4900941,5011113847
180067,session-03,128,131072,247.1804,256,5779908702,780614957,4889275,4999162673
180067,session-04,128,131072,247.1725,256,5777189059,780588711,4886669,4996469276
190072,session-01,128,131072,247.1862,256,6108840101,824347886,5168002,5284361143
190072,session-02,128,131072,247.1960,256,6115775818,823775460,5175547,5291869286
190072,session-03,128,131072,247.1856,256,6103070287,823914028,5162988,5279025187
190072,session-04,128,131072,247.1757,256,6102007174,824000773,5161883,5277875329
200070,session-01,128,131072,247.2090,256,6434233387,866491904,5444987,5567610411
200070,session-02,128,130389,247.2181,256,6441431240,865914012,5452797,5575386839
200070,session-03,128,131072,247.2079,256,6428292214,866054977,5439825,5562106165
200070,session-04,128,131072,247.1996,256,6427161854,866133523,5438663,5560897259
210071,session-01,128,130730,247.2430,256,6769392593,908636617,5731492,5860625246
210071,session-02,128,131072,247.2527,256,6777454015,908065891,5740140,5869257052
210071,session-03,128,131072,247.2423,256,6763669188,908198995,5726539,5855339121
210071,session-04,128,131072,247.2343,256,6762436098,908272421,5725276,5854032605
220072,session-01,128,131072,247.2708,256,7103000085,950908646,6016374,6151960367
220072,session-02,128,131072,247.2804,256,7111401116,950333121,6025352,6160936923
220072,session-03,128,130389,247.2698,256,7097133316,950475456,6011262,6146527471
220072,session-04,128,131072,247.2621,256,7095774945,950544782,6009882,6145099091
230072,session-01,128,131072,247.2500,256,7413484888,994393736,6277533,6418960080
230072,session-02,128,130389,247.2596,256,7423547523,993990588,6287965,6429426546
230072,session-03,128,131072,247.2474,256,7408005503,994089580,6272702,6413784851
230072,session-04,128,131072,247.2404,256,7405859321,994036708,6270690,6411691541
240073,session-01,128,131072,247.2283,256,7721314789,1037950509,6536044,6683233208
240073,session-02,128,131072,247.2331,256,7731953934,1037577399,6547004,6694245463
240073,session-03,128,131072,247.2274,256,7715756240,1037553859,6531225,6678071309
240073,session-04,128,131072,247.2195,256,7713698140,1037551828,6529218,6676015240
250073,session-01,128,131072,247.2223,256,8031239459,1080383961,6797678,6950724426
250073,session-02,128,131072,247.2279,256,8042216511,1080023823,6808972,6962061616
250073,session-03,128,130047,247.2218,256,8025925670,1080122136,6792956,6945673487
250073,session-04,128,131072,247.2149,256,8024192490,1080095523,6791316,6943965895
260073,session-01,128,131072,247.2329,256,8354016431,1122777831,7071860,7231107528
260073,session-02,128,131072,247.2382,256,8365066529,1122425206,7083227,7242510251
260073,session-03,128,129706,247.2310,256,8348110769,1122380832,7066678,7225600231
260073,session-04,128,131072,247.2257,256,8345840329,1122351823,7064522,7223357434
270077,session-01,128,131072,247.2548,256,8685474865,1164919462,7354785,7520424331
270077,session-02,128,131072,247.2601,256,8695863478,1164443283,7365607,7531289123
270077,session-03,128,131072,247.2528,256,8679383503,1164516995,7349445,7514735436
270077,session-04,128,131072,247.2478,256,8677229117,1164495170,7347396,7512602875
280077,session-01,128,131072,247.2348,256,8997062137,1208468043,7617002,7788463022
280077,session-02,128,131072,247.2418,256,9007785956,1207950214,7628152,7799704670
280077,session-03,128,131072,247.2338,256,8990533181,1208018120,7611257,7782383989
280077,session-04,128,131072,247.2296,256,8988496579,1207942719,7609364,7780422788
290077,session-01,128,131072,247.2524,256,9325611699,1250608303,7897103,8074872324
290077,session-02,128,131072,247.2593,256,9337519979,1250219844,7909251,8087169063
290077,session-03,128,131072,247.2514,256,9319901624,1250288779,7892031,8069481773
290077,session-04,128,131072,247.2472,256,9317835314,1250207220,7890108,8067497022
300077,session-01,128,130389,247.2702,256,9655730411,1292750276,8178699,8362849746
300077,session-02,128,130730,247.2773,256,9668045517,1292346440,8191308,8375568347
300077,session-03,128,130730,247.2688,256,9649538014,1292422213,8173173,8356985071
300077,session-04,128,131072,247.2650,256,9646774714,1292220514,8170689,8354423128
310079,session-01,128,130730,247.2911,256,9984936368,1334114700,8460199,8650690938
310079,session-02,128,130730,247.2983,256,9997680561,1333692760,8473217,8663857071
310079,session-03,128,130047,247.2895,256,9978497530,1333776392,8454429,8644591091
310079,session-04,128,131072,247.2858,256,9975634599,1333572641,8451814,8641930886
320081,session-01,128,131072,247.2991,256,10311007187,1376903836,8737214,8933972279
320081,session-02,128,130389,247.3064,256,10323193992,1376353212,8749814,8946710391
320081,session-03,128,131072,247.2974,256,10303491112,1376437178,8730514,8926922862
320081,session-04,128,131072,247.2939,256,10301719459,1376367244,8728828,8925221143
330082,session-01,128,131072,247.3156,256,10641392823,1418780595,9019336,9222481156
330082,session-02,128,131072,247.3232,256,10654333977,1418228258,9032673,9235974647
330082,session-03,128,131072,247.3140,256,10633927961,1418313592,9012659,9215483297
330082,session-04,128,131072,247.3105,256,10632022178,1418242970,9010848,9213648136
340085,session-01,128,131072,247.3138,256,10965431652,1462735376,9293258,9502565204
340085,session-02,128,130730,247.3207,256,10979839836,1462317515,9307911,9517391591
340085,session-03,128,131072,247.3110,256,10957757891,1462274860,9286385,9495351959
340085,session-04,128,131072,247.3078,256,10955984857,1462203891,9284720,9493649894
350086,session-01,128,131072,247.3127,256,11287225903,1506302746,9565346,9780792085
350086,session-02,128,131072,247.3197,256,11302035506,1505905377,9580379,9795999057
350086,session-03,128,131072,247.3099,256,11279457573,1505849742,9558385,9773476759
350086,session-04,128,131072,247.3067,256,11277612184,1505774326,9556657,9771706786
360087,session-01,128,131072,247.3209,256,11618638298,1549499106,9847161,10069008120
360087,session-02,128,131072,247.3280,256,11633916547,1549092171,9862653,10084693304
360087,session-03,128,131072,247.3185,256,11612255079,1549166582,9841441,10062957425
360087,session-04,128,131072,247.3153,256,11609252590,1548969317,9838689,10060152201
370088,session-01,128,131072,247.3214,256,11945889765,1593471300,10124198,10352287393
370088,session-02,128,130047,247.3285,256,11961295366,1593061296,10139799,10368104023
370088,session-03,128,130389,247.3191,256,11939447164,1593134677,10118421,10346182098
370088,session-04,128,131072,247.3158,256,11936283579,1592929217,10115506,10343223290
380091,session-01,128,129023,247.3203,256,12273746439,1637823739,10401434,10635793677
380091,session-02,128,131072,247.3277,256,12288835969,1637290863,10416851,10651414034
380091,session-03,128,131072,247.3182,256,12266537889,1637373117,10395043,10629033700
380091,session-04,128,130730,247.3147,256,12263914980,1637292579,10392511,10626491671
390091,session-01,128,131072,247.3110,256,12593328787,1682703532,10670138,10910494183
390091,session-02,128,131072,247.3184,256,12609797637,1682311286,10686776,10927355279
390091,session-03,128,131072,247.3087,256,12585884372,1682244029,10663536,10903509271
390091,session-04,128,131072,247.3052,256,12583054935,1682158364,10660815,10900765499
400091,session-01,128,130389,247.2905,256,12903544558,1727699361,10929644,11175714808
400091,session-02,128,131072,247.2991,256,12920713523,1727318740,10946912,11193263711
400091,session-03,128,131072,247.2883,256,12895943498,1727179101,10922915,11168633325
400091,session-04,128,130389,247.2864,256,12893648572,1727110840,10920689,11166407343
410095,session-01,128,131072,247.2874,256,13229813323,1772443984,11204971,11457238267
410095,session-02,128,131072,247.2962,256,13247718177,1772068146,11222984,11475518959
410095,session-03,128,131072,247.2852,256,13222149781,1771933969,11198209,11450084740
410095,session-04,128,131072,247.2833,256,13219919730,1771865712,11196014,11447922946
420098,session-01,128,131072,247.2896,256,13562388289,1816954477,11486650,11745302740
420098,session-02,128,131072,247.2984,256,13579611832,1816441078,11504121,11763039682
420098,session-03,128,131072,247.2874,256,13554664322,1816437283,11479832,11738095967
420098,session-04,128,131072,247.2855,256,13552294357,1816363904,11477477,11735799381
430101,session-01,128,131072,247.2788,256,13879787522,1861352312,11753648,12018304138
430101,session-02,128,131072,247.2874,256,13898360368,1861020840,11772238,12037208456
430101,session-03,128,130389,247.2772,256,13871253229,1860797910,11746071,12010324930
430101,session-04,128,129706,247.2721,256,13869048482,1860749097,11743833,12008169679
440102,session-01,128,131072,247.2812,256,14211565458,1905721822,12034685,12305712564
440102,session-02,128,131072,247.2891,256,14229260734,1905264068,12052544,12323865594
440102,session-03,128,131072,247.2795,256,14202826023,1905163668,12026919,12297531283
440102,session-04,128,131072,247.2746,256,14200630157,1905116210,12024668,12295382875
450105,session-01,128,131072,247.2829,256,14541812529,1949948655,12314369,12591732802
450105,session-02,128,131072,247.2912,256,14560992954,1949632558,12333515,12611229324
450105,session-03,128,131072,247.2815,256,14534086840,1949538989,12307442,12584416779
450105,session-04,128,131072,247.2764,256,14530881984,1949352939,12304355,12581397973
460105,session-01,128,131072,247.2863,256,14875693414,1994195294,12597606,12881367048
460105,session-02,128,131072,247.2953,256,14894368358,1993745736,12616361,12900491550
460105,session-03,128,130730,247.2848,256,14866732462,1993643963,12589561,12872957769
460105,session-04,128,130730,247.2798,256,14864491883,1993595823,12587292,12870765330
470109,session-01,128,131072,247.2881,256,15205604260,2038304028,12877080,13167169160
470109,session-02,128,130047,247.2964,256,15225401877,2037991004,12896773,13187280826
470109,session-03,128,131072,247.2857,256,15197260437,2037889918,12869492,13159239447
470109,session-04,128,131072,247.2801,256,15194123889,2037690210,12866469,13156302607
480109,session-01,128,131072,247.2922,256,15539272137,2082403538,13160229,13456737527
480109,session-02,128,130389,247.3006,256,15559625483,2082111358,13180455,13477383736
480109,session-03,128,131072,247.2900,256,15530084907,2081860410,13151942,13448093425
480109,session-04,128,131072,247.2845,256,15527929380,2081805101,13149701,13445993207
490110,session-01,128,131072,247.2939,256,15868728666,2126508515,13439245,13742089079
490110,session-02,128,130730,247.3023,256,15889293622,2126220436,13459712,13762942456
490110,session-03,128,131072,247.2916,256,15860328197,2126086551,13431647,13734110574
490110,session-04,128,131072,247.2862,256,15857122751,2125915196,13428447,13731076483
500110,session-01,128,130730,247.2953,256,16197822359,2170609728,13717905,14027081901
500110,session-02,128,131072,247.3035,256,16218467185,2170329517,13738469,14048006596
500110,session-03,128,131072,247.2930,256,16189242339,2170196310,13710143,14018914957
500110,session-04,128,130047,247.2877,256,16186104477,2170016072,13707003,14015958358
510113,session-01,128,131072,247.2935,256,16526578484,2214601731,13996352,14311845681
510113,session-02,128,131072,247.3030,256,16547651699,2214324589,14017310,14333196038
510113,session-03,128,131072,247.2926,256,16517999493,2214072600,13988693,14303795821
510113,session-04,128,131072,247.2883,256,16514765728,2213815899,13985525,14300818757
520113,session-01,128,131072,247.2976,256,16860052878,2258583839,14279407,14601337967
520113,session-02,128,131072,247.3068,256,16880033157,2258179381,14299403,14621722704
520113,session-03,128,131072,247.2964,256,16850010604,2257915095,14270433,14591964437
520113,session-04,128,131072,247.2922,256,16847746203,2257787757,14268109,14589827374
530114,session-01,128,131072,247.3013,256,17192166352,2302430772,14561270,14889604508
530114,session-02,128,130389,247.3105,256,17212443937,2302028361,14581554,14910285187
530114,session-03,128,131072,247.3003,256,17182216261,2301764081,14552373,14880321108
530114,session-04,128,130730,247.2961,256,17179865508,2301639131,14549967,14878095647
540115,session-01,128,131072,247.3047,256,17522887914,2346162688,14841876,15176594154
540115,session-02,128,130388,247.3140,256,17544530800,2345875639,14863411,15198524773
540115,session-03,128,131072,247.3037,256,17513878150,2345607941,14833815,15168139137
540115,session-04,128,130730,247.2996,256,17510606847,2345350550,14830616,15165125567
550118,session-01,128,131072,247.3093,256,17856250702,2389885046,15125064,15466234584
550118,session-02,128,131072,247.3184,256,17878020547,2389588430,15146750,15488301045
550118,session-03,128,130730,247.3082,256,17847071288,2389330637,15116833,15457609921
550118,session-04,128,131072,247.3042,256,17843804085,2389066063,15113648,15454606950
560118,session-01,128,131072,247.3141,256,18189602563,2433464032,15408389,15756007459
560118,session-02,128,130389,247.3233,256,18211863910,2433170148,15430574,15778563373
560118,session-03,128,131072,247.3131,256,18180461010,2432906545,15400211,15747423393
560118,session-04,128,131072,247.3089,256,18177801757,2432784312,15397459,15744886373
