elapsed_ms,pid,rss_kb,fd_count,session_count,reader_thread_alive
0,7609,118064,22,4,true
10034,7609,120704,21,4,true
20034,7609,120544,21,4,true
30035,7609,119904,21,4,true
40035,7609,119904,21,4,true
50037,7609,119552,21,4,true
60036,7609,119552,21,4,true
70037,7609,119568,21,4,true
80041,7609,119568,21,4,true
90042,7609,119616,21,4,true
100043,7609,119520,21,4,true
110045,7609,119536,21,4,true
120049,7609,119536,21,4,true
130052,7609,119536,21,4,true
140053,7609,119520,21,4,true
150056,7609,119520,21,4,true
160060,7609,119520,21,4,true
170064,7609,119536,21,4,true
180067,7609,119024,21,4,true
190072,7609,119040,21,4,true
200070,7609,119040,21,4,true
210071,7609,119040,21,4,true
220072,7609,119056,21,4,true
230072,7609,119056,21,4,true
240073,7609,119040,21,4,true
250073,7609,119056,21,4,true
260073,7609,119056,21,4,true
270077,7609,119040,21,4,true
280077,7609,119040,21,4,true
290077,7609,119056,21,4,true
300077,7609,119040,21,4,true
310079,7609,119056,21,4,true
320081,7609,119040,21,4,true
330082,7609,119056,21,4,true
340085,7609,119056,21,4,true
350086,7609,119056,21,4,true
360087,7609,119040,21,4,true
370088,7609,119056,21,4,true
380091,7609,119056,21,4,true
390091,7609,119056,21,4,true
400091,7609,119088,21,4,true
410095,7609,119056,21,4,true
420098,7609,119056,21,4,true
430101,7609,119056,21,4,true
440102,7609,119056,21,4,true
450105,7609,119056,21,4,true
460105,7609,119056,21,4,true
470109,7609,119056,21,4,true
480109,7609,119056,21,4,true
490110,7609,119056,21,4,true
500110,7609,119056,21,4,true
510113,7609,119056,21,4,true
520113,7609,119040,21,4,true
530114,7609,119056,21,4,true
540115,7609,119056,21,4,true
550118,7609,119056,21,4,true
560118,7609,119056,21,4,true
570122,7609,119056,21,4,true
580123,7609,119056,21,4,true
590124,7609,119056,21,4,true
